,28-Jun-2021
The Nifty witnessed an intraday movement of about 123.5 points.The closing index was 0.29 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58149.56
, Traded Quantity (in Lakhs), 34856.8
, Number of Trades, 20446298
, Total Market Capitalisation (Rs. Crores), 22859868.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15860.35,     15915.35,     15915.65,     15792.15,     15814.70,-45.65
,NIFTY50 EQL Wgt,     17822.55,     17886.65,     17887.30,     17791.00,     17816.70,-5.85
,NIFTY100 EQL Wgt,     18910.95,     18977.50,     18998.90,     18922.80,     18952.80,41.85
,NIFTY100 LowVol30,     12315.65,     12351.20,     12357.95,     12299.00,     12308.05,-7.6
,NIFTY Alpha 50,     27106.20,     27171.05,     27221.05,     27015.55,     27098.15,-8.05
,NIFTY MIDCAP 150,     10137.30,     10182.75,     10199.35,     10153.30,     10187.75,50.45
,NIFTY SMLCAP 50,      4853.95,      4881.85,      4890.30,      4865.05,      4878.50,24.55
,NIFTY SMLCAP 250,      8363.10,      8414.30,      8422.90,      8387.10,      8406.50,43.4
,NIFTY MIDSML 400,      9499.05,      9546.45,      9559.15,      9519.15,      9546.95,47.9
,NIFTY200 QUALTY30,     13433.10,     13471.70,     13477.30,     13411.35,     13423.20,-9.9
,Nifty FinSrv25 50,     16775.75,     16835.95,     16859.00,     16691.95,     16720.75,-55
,NIFTY AlphaLowVol,     15559.55,     15621.90,     15673.15,     15597.90,     15615.25,55.7
,Nifty200Momentm30,     17829.65,     17897.95,     17971.40,     17847.45,     17926.20,96.55
,Nifty100ESGSecLdr,      2701.15,      2707.90,      2707.90,      2691.15,      2693.60,-7.55
,Nifty IT,     29210.55,     29259.60,     29259.60,     28977.75,     29068.55,-142
,Nifty Next 50,     38603.45,     38724.90,     38874.30,     38602.25,     38754.35,150.9
,Nifty Bank,     35364.65,     35488.20,     35576.95,     35236.45,     35359.45,-5.2
,NIFTY MIDCAP 100,     26895.00,     26998.00,     27066.85,     26906.45,     27036.50,141.5
,Nifty 500,     13539.40,     13589.75,     13589.85,     13515.05,     13533.05,-6.35
,Nifty 100,     16087.20,     16141.45,     16141.70,     16032.75,     16055.20,-32
,Nifty Midcap 50,      7477.30,      7519.35,      7535.65,      7480.35,      7520.25,42.95
,Nifty Realty,       346.55,       346.50,       348.85,       345.75,       346.70,.15
,Nifty Infra,      4371.50,      4395.65,      4395.95,      4356.75,      4362.10,-9.4
,Nifty Energy,     19961.05,     20097.30,     20101.30,     19827.35,     19858.50,-102.55
,Nifty FMCG,     36006.55,     36104.20,     36159.75,     35955.90,     36054.45,47.9
,Nifty MNC,     17517.60,     17588.80,     17599.90,     17502.15,     17533.55,15.95
,Nifty Pharma,     14069.60,     14120.35,     14308.90,     14095.00,     14247.60,178
,Nifty PSE,      3617.65,      3639.95,      3649.05,      3622.20,      3631.35,13.7
,Nifty PSU Bank,      2507.25,      2530.75,      2580.95,      2521.55,      2567.35,60.1
,Nifty Serv Sector,     22154.75,     22214.90,     22214.90,     22040.90,     22078.05,-76.7
,India VIX,13.3675,13.3675,13.7700,13.1175,13.4025,0.0350
,Nifty Auto,     10706.80,     10746.10,     10746.10,     10676.90,     10709.90,3.1
,Nifty Metal,      5223.95,      5253.05,      5316.95,      5206.85,      5290.80,66.85
,Nifty Media,      1835.75,      1842.20,      1842.20,      1820.35,      1824.05,-11.7
,NIFTY SMLCAP 100,      9691.10,      9734.90,      9754.05,      9713.00,      9726.50,35.4
,Nifty 200,      8380.60,      8409.35,      8409.45,      8359.95,      8371.70,-8.9
,Nifty Div Opps 50,      3352.15,      3362.35,      3362.65,      3347.05,      3350.85,-1.3
,Nifty Commodities,      5179.15,      5205.80,      5216.10,      5177.00,      5190.15,11
,Nifty Consumption,      6356.45,      6378.05,      6378.05,      6344.50,      6352.30,-4.15
,Nifty Fin Service,     16722.35,     16773.60,     16806.70,     16635.25,     16667.40,-54.95
,Nifty50 Div Point,        65.14,        65.14,        65.14,        65.14,        65.14,0
,Nifty100 Liq 15,      4014.45,      4034.55,      4036.10,      3996.35,      4006.15,-8.3
,Nifty CPSE,      2059.55,      2070.80,      2081.65,      2064.85,      2067.55,8
,Nifty GrowSect 15,      7601.95,      7624.65,      7636.15,      7605.30,      7620.75,18.8
,Nifty50 PR 2x Lev,      7564.65,      7615.10,      7615.10,      7498.05,      7519.05,-45.6
,Nifty50 PR 1x Inv,       277.15,       276.25,       278.40,       276.25,       278.00,.85
,Nifty50 TR 2x Lev,     10180.80,     10248.65,     10248.65,     10091.15,     10119.40,-61.4
,Nifty50 TR 1x Inv,       239.00,       238.25,       240.10,       238.25,       239.75,.75
,Nifty50 Value 20,      8102.65,      8124.20,      8124.80,      8078.00,      8090.25,-12.4
,Nifty Mid Liq 15,      6270.05,      6302.80,      6315.45,      6274.45,      6289.40,19.35
,Nifty Pvt Bank,     18586.40,     18649.85,     18695.90,     18526.10,     18599.15,12.75
,NIFTY100 Qualty30,      3627.00,      3638.40,      3638.90,      3617.40,      3621.30,-5.7
,Nifty GS 8 13Yr,      2273.05,      2273.43,      2273.43,      2269.17,      2269.17,-3.88
,Nifty GS 10Yr,      2067.48,      2067.82,      2067.82,      2061.98,      2062.19,-5.29
,Nifty GS 10Yr Cln,       956.51,       956.51,       956.51,       953.80,       953.89,-2.62
,Nifty GS 4 8Yr,      2419.71,      2420.10,      2420.10,      2415.85,      2416.07,-3.64
,Nifty GS 11 15Yr,      2424.47,      2424.92,      2424.92,      2415.95,      2416.09,-8.38
,Nifty GS 15YrPlus,      2598.51,      2599.02,      2599.02,      2591.11,      2593.01,-5.5
,Nifty GS Compsite,      2312.29,      2312.68,      2312.68,      2307.09,      2307.30,-4.99

,ADVANCES,1069
,DECLINES,940
,UNCHANGED,66

,Total securities that have hit their price bands today,404

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2104.45,      2086.00,-0.88,1965.44
,NATIONALUM,EQ,        73.45,        80.05,8.99,1546.92
,DODLA,EQ,       428.00,       609.90,42.5,1457.07
,TATASTEEL,EQ,      1165.25,      1184.00,1.61,1374.33
,KIMS,EQ,       825.00,       996.95,20.84,1332.92
,SBIN,EQ,       428.80,       426.75,-0.48,1256.81
,THYROCARE,EQ,      1448.10,      1308.60,-9.63,1212.64
,BANKBARODA,EQ,        83.50,        87.80,5.15,1127.65
,ADANIPORTS,EQ,       712.20,       716.25,0.57,1020.32
,ADANIENT,EQ,      1519.45,      1525.75,0.41,951.48
,INFY,EQ,      1574.20,      1571.80,-0.15,788.42
,ICICIBANK,EQ,       649.00,       650.30,0.2,785.7
,PNB,EQ,        42.30,        43.35,2.48,715.34
,HDFCBANK,EQ,      1515.10,      1508.35,-0.45,706.63
,TATAMOTORS,EQ,       339.65,       342.80,0.93,608.49
,KOTAKBANK,EQ,      1735.00,      1733.05,-0.11,607.44
,IGL,EQ,       512.55,       533.55,4.1,591.82
,AXISBANK,EQ,       761.35,       762.40,0.14,585.98
,SAIL,EQ,       131.35,       133.20,1.41,580.22
,HINDALCO,EQ,       375.90,       382.30,1.7,552.54
,HDFC,EQ,      2509.20,      2494.95,-0.57,535.53
,HDFCLIFE,EQ,       725.95,       696.20,-4.1,522.29
,BAJFINANCE,EQ,      6075.80,      6037.05,-0.64,500.97
,NMDC,EQ,       177.75,       182.10,2.45,475.55
,TCS,EQ,      3380.80,      3336.75,-1.3,453.42

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      5404.25,      5309.30,1.79
,HINDALCO,EQ,       382.30,       375.90,1.7
,TATASTEEL,EQ,      1184.00,      1165.25,1.61
,DIVISLAB,EQ,      4314.40,      4248.75,1.55
,TECHM,EQ,      1105.10,      1089.50,1.43

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCLIFE,EQ,       696.20,       725.95,-4.1
,TITAN,EQ,      1728.05,      1753.85,-1.47
,TCS,EQ,      3336.75,      3380.80,-1.3
,SHREECEM,EQ,     28390.20,     28729.10,-1.18
,COALINDIA,EQ,       147.20,       148.75,-1.04

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        63.35,                 13604318.05,211301
,21STCENMGM,EQ,        21.80,                    29430.00,1350
,3IINFOTECH,BE,        10.00,                173520047.05,17430732
,3MINDIA,EQ,     24756.85,                 52279189.80,2102
,3PLAND,EQ,        13.60,                   552596.40,40506
,509GS2022,GS,        90.00,                     4320.00,48
,579GS2030,GS,        97.00,                     9700.00,100
,585GS2030,GS,        99.00,                    19800.00,200
,5PAISA,EQ,       435.70,                 38443126.25,87515
,618GS2024,GS,       100.00,                    20000.00,200
,63MOONS,BE,        93.25,                  2952294.80,31671
,664GS2035,GS,       103.85,                      412.85,4
,719GS2060,GS,       110.00,                    11000.00,100
,757GS2033,GS,       107.00,                    10700.00,100
,763GS2059,GS,       120.00,                    29400.00,245
,772GS2049,GS,       116.35,                    13969.50,120
,A2ZINFRA,BE,         5.70,                  4163735.85,714740
,AAATECH,SM,        63.90,                  3175800.00,48000
,AAKASH,EQ,       196.05,                  9230006.50,46667
,AARON,BE,        82.60,                   697131.70,8539
,AARTIDRUGS,EQ,       706.85,                147728350.10,208479
,AARTIIND,EQ,       868.00,                557108982.05,641552
,AARTISURF,EQ,      1358.55,                 17343717.75,12728
,AARVEEDEN,BE,        23.30,                   214999.10,9119
,AARVI,EQ,        65.80,                  1677294.30,25204
,AAVAS,EQ,      2646.00,                454586350.30,171286
,ABAN,BE,        44.05,                  3995503.10,89747
,ABB,EQ,      1809.80,                262168063.55,142851
,ABCAPITAL,EQ,       118.45,                141408809.95,1191089
,ABFRL,EQ,       219.55,                869561445.90,3927791
,ABFRLPP1,E1,       191.80,                 12331717.00,63798
,ABINFRA,SM,        10.10,                    40400.00,4000
,ABMINTLTD,EQ,        69.65,                   743085.10,10519
,ABSLBANETF,EQ,       350.22,                   121684.33,347
,ABSLNN50ET,EQ,       394.00,                    55276.75,141
,ABSLRIF6RG,MF,         9.74,                    38979.32,4002
,ACCELYA,EQ,      1165.00,                 98431752.30,83620
,ACCORD,SM,        16.30,                    65300.00,4000
,ACCURACY,EQ,        79.20,                  1099793.10,13826
,ACE,EQ,       234.75,                366273821.00,1561979
,ACRYSIL,EQ,       599.65,                201890319.55,343538
,ADANIENT,EQ,      1525.75,               9514758094.35,6178022
,ADANIGREEN,BE,      1119.85,               2140562939.95,1892105
,ADANIPOWER,BE,       118.20,                622874756.45,5385825
,ADANITRANS,BE,      1159.00,                233604349.45,202876
,ADFFOODS,EQ,       924.75,                 20230528.70,21698
,ADL,BE,        42.75,                   276897.05,6323
,ADORWELD,EQ,       641.90,                 65698153.35,103877
,ADROITINFO,EQ,        11.10,                   662963.20,60333
,ADSL,EQ,        61.65,                  4507571.35,72445
,ADVANIHOTR,EQ,        68.35,                 19052108.10,272900
,ADVENZYMES,EQ,       411.15,                 57086774.30,138459
,AEGISCHEM,EQ,       348.95,                101128396.35,286123
,AFFLE,BE,      4590.55,                274301395.50,59608
,AGARIND,EQ,       323.30,                 18723423.25,58655
,AGCNET,BE,      1156.65,                  4800118.05,4076
,AGRITECH,EQ,        45.60,                   618498.95,13634
,AGROPHOS,EQ,        13.45,                  3575729.85,266840
,AHLADA,EQ,       184.80,                 28043310.00,156138
,AHLEAST,EQ,       175.05,                   769254.60,4366
,AHLUCONT,EQ,       389.20,                233396677.25,612044
,AHLWEST,EQ,       217.80,                  1709998.00,7858
,AIAENG,EQ,      2141.15,                118947741.65,55567
,AILIMITED,ST,        34.30,                   102900.00,3000
,AIRAN,EQ,        30.45,                 24281428.20,766306
,AIROLAM,SM,        34.90,                   308700.00,9000
,AISL,SM,        44.30,                   944640.00,21600
,AJANTPHARM,EQ,      2007.70,                202595306.00,101611
