,07-Jul-2021
The Nifty witnessed an intraday movement of about 113.85 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58941.48
, Traded Quantity (in Lakhs), 29260.32
, Number of Trades, 20638763
, Total Market Capitalisation (Rs. Crores), 23034832.74

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15818.25,     15819.60,     15893.55,     15779.70,     15879.65,61.4
,NIFTY50 EQL Wgt,     17726.85,     17706.75,     17821.80,     17664.90,     17800.40,73.55
,NIFTY100 EQL Wgt,     18906.40,     18894.75,     19009.05,     18846.10,     18983.70,77.3
,NIFTY100 LowVol30,     12319.75,     12323.00,     12387.85,     12296.40,     12371.65,51.9
,NIFTY Alpha 50,     26977.45,     27017.00,     27080.70,     26784.80,     27007.70,30.25
,NIFTY MIDCAP 150,     10275.45,     10279.00,     10335.15,     10255.80,     10323.60,48.15
,NIFTY SMLCAP 50,      4969.75,      4978.65,      4989.45,      4954.00,      4983.50,13.75
,NIFTY SMLCAP 250,      8631.65,      8654.45,      8696.30,      8619.80,      8688.85,57.2
,NIFTY MIDSML 400,      9682.80,      9693.15,      9743.25,      9666.65,      9734.05,51.25
,NIFTY200 QUALTY30,     13458.85,     13474.80,     13570.65,     13428.80,     13552.60,93.75
,Nifty FinSrv25 50,     16780.95,     16792.35,     16897.95,     16749.95,     16884.10,103.15
,NIFTY AlphaLowVol,     15745.40,     15752.65,     15860.50,     15709.30,     15837.45,92.05
,Nifty200Momentm30,     17800.50,     17823.85,     18017.90,     17729.25,     17992.05,191.55
,Nifty100ESGSecLdr,      2692.25,      2693.20,      2706.20,      2687.80,      2703.10,10.85
,Nifty IT,     28649.40,     28708.60,     28790.30,     28381.30,     28734.65,85.25
,Nifty Next 50,     38772.75,     38765.20,     39012.95,     38625.00,     38936.35,163.6
,Nifty Bank,     35579.15,     35550.60,     35795.75,     35427.65,     35771.30,192.15
,NIFTY MIDCAP 100,     27149.20,     27159.65,     27358.50,     27089.50,     27328.35,179.15
,Nifty 500,     13574.15,     13577.50,     13644.45,     13542.05,     13631.00,56.85
,Nifty 100,     16054.90,     16055.35,     16133.70,     16013.55,     16117.40,62.5
,Nifty Midcap 50,      7511.50,      7517.30,      7592.40,      7493.75,      7578.65,67.15
,Nifty Realty,       352.80,       353.55,       362.15,       352.35,       359.70,6.9
,Nifty Infra,      4371.50,      4365.55,      4381.25,      4355.30,      4377.15,5.65
,Nifty Energy,     19726.05,     19692.10,     19742.65,     19521.40,     19693.80,-32.25
,Nifty FMCG,     36238.50,     36163.10,     36503.95,     36105.40,     36447.05,208.55
,Nifty MNC,     17538.60,     17546.90,     17632.20,     17509.70,     17609.20,70.6
,Nifty Pharma,     14406.95,     14354.00,     14471.40,     14320.20,     14453.20,46.25
,Nifty PSE,      3606.95,      3597.15,      3627.05,      3586.80,      3622.55,15.6
,Nifty PSU Bank,      2513.40,      2509.45,      2532.35,      2502.20,      2524.40,11
,Nifty Serv Sector,     22056.60,     22067.90,     22184.55,     22015.65,     22166.20,109.6
,India VIX,12.2750,12.2750,12.5850,11.1475,12.2125,-0.0625
,Nifty Auto,     10559.70,     10565.30,     10598.00,     10493.65,     10552.50,-7.2
,Nifty Metal,      5172.70,      5163.65,      5300.60,      5124.50,      5286.45,113.75
,Nifty Media,      1832.70,      1830.40,      1840.65,      1814.15,      1829.50,-3.2
,NIFTY SMLCAP 100,      9914.90,      9941.10,      9984.85,      9887.90,      9976.20,61.3
,Nifty 200,      8376.10,      8376.70,      8420.00,      8355.15,      8411.65,35.55
,Nifty Div Opps 50,      3330.25,      3327.25,      3353.05,      3319.50,      3349.30,19.05
,Nifty Commodities,      5164.90,      5158.20,      5215.85,      5129.15,      5205.90,41
,Nifty Consumption,      6394.25,      6398.20,      6427.35,      6382.70,      6418.00,23.75
,Nifty Fin Service,     16771.90,     16779.30,     16886.80,     16731.75,     16874.45,102.55
,Nifty50 Div Point,        73.52,        73.52,        73.52,        73.52,        73.52,0
,Nifty100 Liq 15,      4017.30,      4012.20,      4039.90,      4000.75,      4035.75,18.45
,Nifty CPSE,      2061.35,      2049.85,      2062.95,      2042.85,      2060.35,-1
,Nifty GrowSect 15,      7697.45,      7682.20,      7718.00,      7662.30,      7708.15,10.7
,Nifty50 PR 2x Lev,      7516.45,      7517.05,      7586.60,      7479.95,      7574.10,57.65
,Nifty50 PR 1x Inv,       278.15,       278.15,       278.80,       276.85,       277.10,-1.05
,Nifty50 TR 2x Lev,     10126.70,     10127.50,     10221.20,     10077.50,     10204.40,77.7
,Nifty50 TR 1x Inv,       239.75,       239.75,       240.30,       238.60,       238.80,-.95
,Nifty50 Value 20,      8015.70,      8004.70,      8060.05,      7984.05,      8053.10,37.4
,Nifty Mid Liq 15,      6357.55,      6365.40,      6420.30,      6346.05,      6410.40,52.85
,Nifty Pvt Bank,     18635.85,     18619.20,     18753.85,     18549.95,     18738.50,102.65
,NIFTY100 Qualty30,      3641.55,      3645.75,      3661.90,      3633.30,      3657.30,15.75
,Nifty GS 8 13Yr,      2257.19,      2257.58,      2261.38,      2257.58,      2260.44,3.25
,Nifty GS 10Yr,      2046.52,      2046.86,      2051.28,      2046.70,      2049.61,3.09
,Nifty GS 10Yr Cln,       945.35,       945.35,       947.41,       945.28,       946.63,1.28
,Nifty GS 4 8Yr,      2409.95,      2410.34,      2415.28,      2410.34,      2414.65,4.7
,Nifty GS 11 15Yr,      2405.71,      2406.16,      2411.81,      2406.16,      2410.56,4.85
,Nifty GS 15YrPlus,      2570.30,      2570.80,      2570.80,      2565.33,      2569.61,-.69
,Nifty GS Compsite,      2298.42,      2298.81,      2303.54,      2298.81,      2302.89,4.47

,ADVANCES,1065
,DECLINES,924
,UNCHANGED,57

,Total securities that have hit their price bands today,348

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       316.90,       317.10,0.06,3518.53
,TATASTEEL,EQ,      1167.25,      1218.65,4.4,2002.55
,BAJFINANCE,EQ,      6202.40,      6198.60,-0.06,1210.98
,RELIANCE,EQ,      2124.80,      2110.05,-0.69,1017.99
,NMDC,EQ,       169.45,       168.25,-0.71,915.73
,SAIL,EQ,       123.10,       128.10,4.06,888.15
,TCS,EQ,      3262.30,      3274.95,0.39,862.14
,ADANIENT,EQ,      1414.80,      1425.65,0.77,782.6
,INFY,EQ,      1562.20,      1564.60,0.15,748.51
,HDFCBANK,EQ,      1534.70,      1539.50,0.31,741.17
,RAIN,EQ,       201.30,       219.90,9.24,726.46
,BHEL,EQ,        64.45,        67.80,5.2,720.91
,HDFC,EQ,      2496.40,      2529.20,1.31,641.73
,RBLBANK,EQ,       213.35,       223.40,4.71,640.28
,ADANIPORTS,EQ,       712.70,       720.10,1.04,624.05
,SBIN,EQ,       429.75,       432.85,0.72,623.81
,BHARATFORG,EQ,       767.35,       806.30,5.08,611.57
,NATIONALUM,EQ,        80.05,        84.95,6.12,583.13
,JSWSTEEL,EQ,       673.15,       690.40,2.56,583.03
,ICICIBANK,EQ,       650.30,       654.00,0.57,504.5
,BAJAJFINSV,EQ,     12090.80,     12374.15,2.34,497.65
,KOTAKBANK,EQ,      1755.35,      1761.80,0.37,478.84
,JINDALSTEL,EQ,       391.00,       400.20,2.35,453.53
,HINDALCO,EQ,       385.35,       393.65,2.15,410.9
,ROUTE,EQ,      2030.45,      2083.45,2.61,406.46

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,      1218.65,      1167.25,4.4
,JSWSTEEL,EQ,       690.40,       673.15,2.56
,BAJAJFINSV,EQ,     12374.15,     12090.80,2.34
,HINDALCO,EQ,       393.65,       385.35,2.15
,UPL,EQ,       816.90,       803.30,1.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TITAN,EQ,      1727.25,      1762.80,-2.02
,ONGC,EQ,       119.90,       121.50,-1.32
,MARUTI,EQ,      7449.40,      7514.95,-0.87
,SBILIFE,EQ,      1014.40,      1023.15,-0.86
,SHREECEM,EQ,     27547.00,     27769.10,-0.8

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        61.75,                  7439936.25,120200
,21STCENMGM,EQ,        24.85,                   121118.90,4874
,3IINFOTECH,BE,         9.95,                 58762554.70,5948093
,3MINDIA,EQ,     24327.25,                109150314.40,4452
,3PLAND,EQ,        14.20,                  1519211.95,108895
,5PAISA,EQ,       457.95,                 67712166.75,149216
,63MOONS,BE,        90.05,                  2159535.05,23922
,667GS2050,GS,        97.65,                   415371.60,4237
,676GS2061,GS,        99.05,                   253575.10,2560
,68GS2060,GS,       103.30,                    21694.50,210
,772GS2055,GS,       113.22,                     5661.00,50
,A2ZINFRA,BE,         6.05,                  4316072.80,693377
,AAATECH,SM,        53.10,                   318300.00,6000
,AAKASH,EQ,       202.40,                 13293134.80,65644
,AARON,BE,        94.15,                  1616717.05,17546
,AARTIDRUGS,EQ,       732.75,                186341739.90,253013
,AARTIIND,EQ,       863.20,               1410939194.90,1646860
,AARTISURF,EQ,      1380.65,                 11985317.10,8676
,AARVEEDEN,BE,        21.50,                   118791.90,5425
,AARVI,EQ,        73.80,                  8292023.95,114067
,AAVAS,EQ,      2974.05,               1061298865.50,359477
,ABAN,BE,        43.75,                  2558670.15,58016
,ABB,EQ,      1742.10,                121065262.55,69427
,ABCAPITAL,EQ,       114.40,                246642991.10,2152007
,ABFRL,EQ,       213.50,                242878208.10,1135288
,ABMINTLTD,EQ,        68.70,                    94642.15,1372
,ABSLBANETF,EQ,       355.58,                 21353607.56,60385
,ABSLNN50ET,EQ,       394.00,                    14578.00,37
,ABSLRIF6RD,MF,         9.91,                      495.50,50
,ABSLRIF6RG,MF,         9.62,                   106823.68,10964
,ACCELYA,EQ,      1331.25,                131018640.75,98465
,ACCORD,SM,        19.70,                    39400.00,2000
,ACCURACY,EQ,        82.10,                  1276048.80,15675
,ACE,EQ,       233.55,                 96656490.90,413400
,ACEINTEG,SM,        14.45,                    43350.00,3000
,ACRYSIL,EQ,       616.85,                 23954198.60,38731
,ADANIENT,EQ,      1425.65,               7825997704.75,5549751
,ADANIGREEN,BE,      1017.05,                244010864.30,247291
,ADANIPOWER,BE,       109.80,                331627818.75,3037009
,ADANITRANS,BE,       939.70,                361177232.25,393384
,ADFFOODS,EQ,       895.65,                 18869691.00,21010
,ADL,BE,        39.20,                   138573.25,3494
,ADORWELD,EQ,       683.65,                 10555086.65,15445
,ADROITINFO,BE,        14.05,                    57043.00,4060
,ADSL,EQ,        67.45,                  9491475.10,141014
,ADVANIHOTR,EQ,        68.90,                   985508.45,14276
,ADVENZYMES,EQ,       401.90,                113143130.80,278898
,AEGISCHEM,EQ,       351.35,                 98813209.70,284434
,AFFLE,BE,      4490.90,                109250933.55,24399
,AGARIND,EQ,       316.80,                 10822420.10,34123
,AGCNET,BE,      1309.55,                  3649957.80,2776
,AGRITECH,EQ,        44.25,                   216486.70,4848
,AGROPHOS,EQ,        16.35,                  3655328.75,225109
,AHLADA,EQ,       210.25,                 15649334.75,73775
,AHLEAST,EQ,       188.60,                  5639242.15,29880
,AHLUCONT,EQ,       380.85,                  5347455.45,13961
,AHLWEST,EQ,       249.60,                  5662247.05,22906
,AIAENG,EQ,      2169.90,                294949331.25,135057
,AILIMITED,SM,        32.20,                   283200.00,9000
,AIRAN,BE,        28.80,                  3405458.00,120463
,AIROLAM,SM,        39.90,                  1027650.00,27000
,AISL,SM,        44.60,                  1182960.00,26400
,AJANTPHARM,EQ,      2169.05,                156914005.80,72476
,AJMERA,EQ,       299.50,                124159316.65,409658
,AJOONI,BE,        56.55,                  8318299.50,153415
,AKASH,EQ,       231.05,                  4800765.45,20673
,AKG,EQ,        27.50,                   148331.30,5424
