,26-Jul-2021
The Nifty witnessed an intraday movement of about 96.35 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61528.46
, Traded Quantity (in Lakhs), 30087.53
, Number of Trades, 22351276
, Total Market Capitalisation (Rs. Crores), 23327563.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15856.05,     15849.30,     15893.35,     15797.00,     15824.45,-31.6
,NIFTY50 EQL Wgt,     17846.70,     17848.20,     17903.85,     17801.85,     17848.05,1.35
,NIFTY100 EQL Wgt,     19125.10,     19145.55,     19180.60,     19075.15,     19135.25,10.15
,NIFTY100 LowVol30,     12475.75,     12475.20,     12529.15,     12452.05,     12480.75,5
,NIFTY Alpha 50,     28522.80,     28550.90,     28591.80,     28332.05,     28502.15,-20.65
,NIFTY MIDCAP 150,     10418.50,     10441.40,     10482.75,     10389.60,     10423.15,4.65
,NIFTY SMLCAP 50,      5257.70,      5258.20,      5279.90,      5236.90,      5262.60,4.9
,NIFTY SMLCAP 250,      9026.25,      9043.70,      9099.50,      9018.65,      9059.20,32.95
,NIFTY MIDSML 400,      9914.25,      9935.20,      9981.25,      9898.25,      9928.85,14.6
,NIFTY200 QUALTY30,     13723.50,     13723.30,     13793.50,     13708.10,     13737.95,14.45
,Nifty FinSrv25 50,     16682.55,     16661.25,     16705.80,     16558.35,     16639.15,-43.4
,NIFTY AlphaLowVol,     16141.85,     16141.85,     16212.15,     16115.05,     16159.60,17.75
,Nifty200Momentm30,     18215.20,     18273.00,     18338.80,     18149.85,     18246.95,31.75
,Nifty100ESGSecLdr,      2696.35,      2694.40,      2701.15,      2687.75,      2689.75,-6.6
,Nifty IT,     29894.30,     29886.20,     30139.20,     29859.60,     29940.40,46.1
,Nifty Next 50,     39312.35,     39371.80,     39459.75,     39167.95,     39351.30,38.95
,Nifty Bank,     35034.40,     34947.85,     35138.20,     34669.55,     34949.70,-84.7
,NIFTY MIDCAP 100,     27584.80,     27639.10,     27758.70,     27486.10,     27573.85,-10.95
,Nifty 500,     13687.00,     13692.20,     13731.10,     13648.45,     13675.10,-11.9
,Nifty 100,     16119.10,     16117.25,     16156.20,     16066.15,     16094.20,-24.9
,Nifty Midcap 50,      7574.35,      7592.60,      7614.50,      7537.55,      7549.05,-25.3
,Nifty Realty,       401.05,       401.15,       406.90,       396.20,       397.20,-3.85
,Nifty Infra,      4456.35,      4455.30,      4474.25,      4435.70,      4446.50,-9.85
,Nifty Energy,     19503.80,     19491.50,     19496.55,     19273.45,     19300.10,-203.7
,Nifty FMCG,     36558.65,     36639.15,     36746.50,     36459.05,     36486.75,-71.9
,Nifty MNC,     17755.85,     17773.05,     17819.65,     17688.20,     17779.35,23.5
,Nifty Pharma,     14597.85,     14604.65,     14711.20,     14591.85,     14652.55,54.7
,Nifty PSE,      3597.90,      3597.25,      3614.20,      3580.45,      3589.90,-8
,Nifty PSU Bank,      2428.05,      2428.95,      2429.95,      2405.55,      2408.55,-19.5
,Nifty Serv Sector,     22015.30,     21980.65,     22067.35,     21893.80,     21989.00,-26.3
,India VIX,11.7625,11.7625,12.5400,10.3950,12.4500,0.6875
,Nifty Auto,     10201.35,     10204.65,     10212.65,     10127.15,     10137.95,-63.4
,Nifty Metal,      5353.80,      5402.60,      5421.90,      5350.00,      5387.40,33.6
,Nifty Media,      1754.00,      1760.10,      1786.35,      1755.95,      1759.55,5.55
,NIFTY SMLCAP 100,     10406.95,     10416.10,     10462.25,     10380.75,     10434.75,27.8
,Nifty 200,      8422.70,      8424.05,      8446.30,      8395.25,      8411.00,-11.7
,Nifty Div Opps 50,      3396.20,      3397.05,      3410.55,      3390.65,      3395.90,-.3
,Nifty Commodities,      5303.25,      5320.40,      5328.25,      5283.75,      5307.00,3.75
,Nifty Consumption,      6433.40,      6435.15,      6460.05,      6419.50,      6426.25,-7.15
,Nifty Fin Service,     16611.05,     16574.50,     16632.10,     16462.55,     16574.85,-36.2
,Nifty50 Div Point,        89.87,        89.87,        89.87,        89.87,        89.87,0
,Nifty100 Liq 15,      4086.60,      4087.85,      4096.10,      4060.65,      4072.90,-13.7
,Nifty CPSE,      2040.60,      2039.00,      2055.10,      2031.40,      2042.65,2.05
,Nifty GrowSect 15,      7671.30,      7683.15,      7701.85,      7657.40,      7663.35,-7.95
,Nifty50 PR 2x Lev,      7536.95,      7528.50,      7570.40,      7481.05,      7504.90,-32.05
,Nifty50 PR 1x Inv,       277.75,       277.90,       278.80,       277.15,       278.35,.6
,Nifty50 TR 2x Lev,     10175.30,     10163.90,     10220.45,     10099.85,     10132.05,-43.25
,Nifty50 TR 1x Inv,       239.15,       239.30,       240.05,       238.65,       239.70,.55
,Nifty50 Value 20,      8131.80,      8140.55,      8164.45,      8112.20,      8118.45,-13.35
,Nifty Mid Liq 15,      6388.10,      6386.05,      6422.20,      6314.00,      6339.20,-48.9
,Nifty Pvt Bank,     18287.15,     18281.05,     18386.90,     18137.90,     18270.80,-16.35
,NIFTY100 Qualty30,      3648.80,      3647.80,      3662.85,      3643.90,      3647.70,-1.1
,Nifty GS 8 13Yr,      2261.96,      2262.35,      2262.75,      2262.01,      2262.69,.73
,Nifty GS 10Yr,      2045.98,      2046.33,      2046.64,      2044.08,      2045.00,-.98
,Nifty GS 10Yr Cln,       942.11,       942.11,       942.26,       941.08,       941.50,-.61
,Nifty GS 4 8Yr,      2434.91,      2435.30,      2437.56,      2435.30,      2436.39,1.48
,Nifty GS 11 15Yr,      2419.72,      2420.17,      2422.11,      2420.17,      2420.56,.84
,Nifty GS 15YrPlus,      2582.03,      2582.53,      2590.21,      2582.53,      2588.93,6.9
,Nifty GS Compsite,      2316.27,      2316.67,      2318.83,      2316.67,      2317.72,1.45

,ADVANCES,969
,DECLINES,1062
,UNCHANGED,71

,Total securities that have hit their price bands today,452

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ZOMATO,EQ,       126.00,       140.65,11.63,3362.03
,ICICIBANK,EQ,       676.65,       676.75,0.01,2104.53
,RELIANCE,EQ,      2105.70,      2076.85,-1.37,1196.36
,IBULHSGFIN,EQ,       283.65,       285.15,0.53,1162.62
,TATASTEEL,EQ,      1281.40,      1297.95,1.29,1123.76
,JSWSTEEL,EQ,       717.55,       704.55,-1.81,1039.61
,JINDALSTEL,EQ,       397.70,       403.80,1.53,1011.56
,ITC,EQ,       212.40,       211.15,-0.59,1007.98
,HDFCBANK,EQ,      1442.75,      1434.55,-0.57,944.7
,SBICARD,EQ,       956.90,      1017.25,6.31,884.33
,APOLLOHOSP,EQ,      3918.90,      4100.35,4.63,809.65
,TATAMOTORS,EQ,       295.55,       293.15,-0.81,807.67
,SAIL,EQ,       126.55,       129.60,2.41,805.57
,INFY,EQ,      1590.45,      1603.90,0.85,736.65
,CAPLIPOINT,EQ,       791.95,       944.00,19.2,685.83
,KOTAKBANK,EQ,      1722.95,      1740.60,1.02,682.19
,SBIN,EQ,       428.90,       423.30,-1.31,595.64
,AXISBANK,EQ,       755.40,       756.30,0.12,594.87
,BAJAJFINSV,EQ,     13201.20,     13525.05,2.45,565.24
,BAJFINANCE,EQ,      6180.90,      6162.45,-0.3,452.19
,NAUKRI,EQ,      5142.55,      5085.95,-1.1,438.94
,NAVINFLUOR,EQ,      3940.10,      3707.55,-5.9,423.89
,TCS,EQ,      3212.85,      3197.55,-0.48,403.77
,MPHASIS,EQ,      2530.15,      2589.15,2.33,393.69
,DLF,EQ,       334.15,       333.95,-0.06,387.53

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SBILIFE,EQ,      1076.65,      1050.45,2.49
,BAJAJFINSV,EQ,     13525.05,     13201.20,2.45
,HINDALCO,EQ,       400.05,       391.75,2.12
,DIVISLAB,EQ,      4921.15,      4824.75,2
,ULTRACEMCO,EQ,      7616.70,      7490.30,1.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       704.55,       717.55,-1.81
,WIPRO,EQ,       590.45,       599.15,-1.45
,RELIANCE,EQ,      2076.85,      2105.70,-1.37
,SBIN,EQ,       423.30,       428.90,-1.31
,M&M,EQ,       754.30,       764.20,-1.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        63.95,                  7402774.05,114623
,21STCENMGM,EQ,        21.15,                    63809.55,3017
,3IINFOTECH,BE,         9.15,                 43686433.80,4922401
,3MINDIA,EQ,     24762.10,                 89458531.55,3636
,3PLAND,BE,        16.05,                   241072.15,14807
,5PAISA,EQ,       532.60,                 63044547.95,119134
,63MOONS,EQ,       105.60,                 29334881.85,273915
,667GS2050,GS,        97.00,                    39679.00,410
,676GS2061,GS,        98.00,                    86674.50,882
,68GS2060,GS,       102.00,                      102.00,1
,706GS2046,GS,        99.00,                       99.00,1
,716GS2050,GS,       111.00,                     1110.00,10
,737GS2023,GS,       105.60,                    31680.00,300
,763GS2059,GS,       114.00,                     3996.00,35
,772GS2049,GS,       115.75,                    17335.70,150
,772GS2055,GS,       115.60,                    19460.95,168
,A2ZINFRA,EQ,         5.45,                  2282152.50,413582
,AAATECH,SM,        52.85,                  2082900.00,39000
,AAKASH,EQ,       238.20,                 94826743.10,380989
,AARON,EQ,       125.10,                  2220337.70,17778
,AARTIDRUGS,EQ,       722.30,                216145178.25,298556
,AARTIIND,EQ,       895.80,                731001652.15,816371
,AARTISURF,EQ,      1579.05,                282762853.85,179831
,AARVEEDEN,EQ,        23.25,                   815740.50,34856
,AARVI,EQ,        72.00,                  2733301.55,38212
,AAVAS,EQ,      2646.90,                 87778597.10,32841
,ABAN,EQ,        48.55,                 22774099.05,464298
,ABB,EQ,      1712.30,                118722355.15,69698
,ABCAPITAL,EQ,       117.65,                282749507.80,2396867
,ABFRL,EQ,       217.15,                422925085.15,1946142
,ABINFRA,SM,         7.85,                   250800.00,32000
,ABMINTLTD,EQ,       103.35,                  1145735.05,10795
,ABSLBANETF,EQ,       347.44,                   101048.43,291
,ABSLNN50ET,EQ,       397.20,                   244083.49,609
,ABSLRIF6RD,MF,         9.45,                      945.00,100
,ABSLRIF6RG,MF,        10.12,                   127285.00,12600
,ACCELYA,EQ,      1398.65,                 86926914.90,61241
,ACCURACY,EQ,        91.80,                   889886.75,9741
,ACE,EQ,       263.70,                965530288.70,3703867
,ACEINTEG,SM,        16.65,                    49950.00,3000
,ACRYSIL,EQ,       589.80,                 21744515.05,36714
,ADANIENT,EQ,      1403.90,               2887657613.15,2054318
,ADANIGREEN,BE,       942.20,                 90818212.15,95733
,ADANIPOWER,BE,        97.95,                158517540.15,1603624
,ADANITRANS,BE,       939.70,                 53509952.15,56957
,ADFFOODS,EQ,       932.55,                122084602.30,132547
,ADL,BE,        34.40,                   221042.80,6391
,ADORWELD,EQ,       737.10,                 10032379.40,13676
,ADROITINFO,BE,         7.85,                    96960.05,12379
,ADSL,EQ,        67.60,                 19781146.00,297117
,ADVANIHOTR,EQ,        70.70,                  2298762.80,32986
,ADVENZYMES,EQ,       408.20,                 99207956.65,243558
,AEGISCHEM,EQ,       316.30,                118142181.10,371014
,AFFLE,BE,      4331.90,                 75378048.10,17360
,AGARIND,EQ,       347.80,                 10659023.10,30913
,AGCNET,BE,      1203.05,                  2925224.95,2402
,AGRITECH,EQ,        44.75,                   713815.05,15903
,AGROPHOS,EQ,        15.65,                   973632.40,61580
,AHLADA,EQ,       200.20,                 12550013.65,63332
,AHLEAST,EQ,       200.50,                 35911787.40,173336
,AHLUCONT,EQ,       386.40,                  3969827.15,10192
,AHLWEST,EQ,       285.45,                  8808892.65,31523
,AIAENG,EQ,      2001.65,                 27575740.80,13727
,AILIMITED,SM,        25.50,                   153450.00,6000
,AIRAN,BE,        26.15,                  2063014.85,78828
,AIROLAM,SM,        39.00,                   351000.00,9000
,AISL,SM,        51.85,                  1174680.00,22800
