,27-Jul-2021
The Nifty witnessed an intraday movement of about 180.55 points.The closing index was 0.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 70711.31
, Traded Quantity (in Lakhs), 30441.26
, Number of Trades, 23575397
, Total Market Capitalisation (Rs. Crores), 23229005.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15824.45,     15860.50,     15881.55,     15701.00,     15746.45,-78
,NIFTY50 EQL Wgt,     17848.05,     17899.95,     17934.60,     17690.95,     17752.15,-95.9
,NIFTY100 EQL Wgt,     19135.25,     19189.90,     19229.20,     18967.20,     19018.60,-116.65
,NIFTY100 LowVol30,     12480.75,     12501.55,     12515.35,     12345.80,     12370.00,-110.75
,NIFTY Alpha 50,     28502.15,     28571.35,     28717.00,     28217.10,     28468.90,-33.25
,NIFTY MIDCAP 150,     10423.15,     10467.30,     10505.75,     10339.95,     10376.15,-47
,NIFTY SMLCAP 50,      5262.60,      5286.15,      5333.75,      5237.75,      5268.65,6.05
,NIFTY SMLCAP 250,      9059.20,      9120.60,      9168.10,      9007.35,      9052.45,-6.75
,NIFTY MIDSML 400,      9928.85,      9979.00,     10019.65,      9857.10,      9896.10,-32.75
,NIFTY200 QUALTY30,     13737.95,     13764.65,     13785.80,     13631.25,     13665.50,-72.45
,Nifty FinSrv25 50,     16639.15,     16686.25,     16789.35,     16604.75,     16646.35,7.2
,NIFTY AlphaLowVol,     16159.60,     16192.40,     16210.05,     15931.80,     15971.80,-187.8
,Nifty200Momentm30,     18246.95,     18325.65,     18433.50,     18129.20,     18229.15,-17.8
,Nifty100ESGSecLdr,      2689.75,      2695.60,      2698.00,      2666.05,      2672.90,-16.85
,Nifty IT,     29940.40,     29967.90,     30048.35,     29698.95,     29892.55,-47.85
,Nifty Next 50,     39351.30,     39454.65,     39572.20,     39007.30,     39105.40,-245.9
,Nifty Bank,     34949.70,     35029.30,     35186.10,     34713.55,     34797.45,-152.25
,NIFTY MIDCAP 100,     27573.85,     27680.75,     27782.85,     27318.25,     27455.10,-118.75
,Nifty 500,     13675.10,     13715.15,     13740.90,     13569.35,     13610.30,-64.8
,Nifty 100,     16094.20,     16131.45,     16152.70,     15967.15,     16011.05,-83.15
,Nifty Midcap 50,      7549.05,      7577.55,      7609.45,      7475.65,      7495.95,-53.1
,Nifty Realty,       397.20,       400.05,       404.45,       391.95,       394.30,-2.9
,Nifty Infra,      4446.50,      4458.25,      4463.60,      4400.80,      4416.00,-30.5
,Nifty Energy,     19300.10,     19320.00,     19353.70,     19070.90,     19116.15,-183.95
,Nifty FMCG,     36486.75,     36551.45,     36620.30,     36307.35,     36360.80,-125.95
,Nifty MNC,     17779.35,     17831.75,     17858.10,     17658.00,     17710.90,-68.45
,Nifty Pharma,     14652.55,     14702.95,     14713.15,     13866.80,     14018.65,-633.9
,Nifty PSE,      3589.90,      3600.00,      3609.65,      3555.60,      3562.50,-27.4
,Nifty PSU Bank,      2408.55,      2413.20,      2450.75,      2404.45,      2417.60,9.05
,Nifty Serv Sector,     21989.00,     22031.50,     22063.20,     21860.00,     21917.50,-71.5
,India VIX,12.4500,12.4500,13.5250,12.1025,13.2325,0.7825
,Nifty Auto,     10137.95,     10153.15,     10217.10,     10047.65,     10094.35,-43.6
,Nifty Metal,      5387.40,      5432.55,      5499.65,      5405.55,      5465.90,78.5
,Nifty Media,      1759.55,      1765.90,      1795.50,      1743.25,      1751.00,-8.55
,NIFTY SMLCAP 100,     10434.75,     10486.50,     10563.95,     10378.20,     10432.95,-1.8
,Nifty 200,      8411.00,      8432.15,      8445.30,      8343.15,      8368.50,-42.5
,Nifty Div Opps 50,      3395.90,      3405.75,      3410.65,      3376.70,      3388.70,-7.2
,Nifty Commodities,      5307.00,      5328.15,      5349.80,      5269.20,      5295.45,-11.55
,Nifty Consumption,      6426.25,      6444.40,      6453.00,      6387.35,      6405.75,-20.5
,Nifty Fin Service,     16574.85,     16615.60,     16685.35,     16497.65,     16529.15,-45.7
,Nifty50 Div Point,        89.87,        91.37,        91.37,        91.37,        91.37,1.5
,Nifty100 Liq 15,      4072.90,      4083.60,      4101.20,      4043.05,      4061.85,-11.05
,Nifty CPSE,      2042.65,      2048.35,      2055.65,      2028.35,      2034.80,-7.85
,Nifty GrowSect 15,      7663.35,      7676.80,      7692.05,      7508.05,      7534.85,-128.5
,Nifty50 PR 2x Lev,      7504.90,      7538.40,      7558.15,      7388.05,      7430.25,-74.65
,Nifty50 PR 1x Inv,       278.35,       277.75,       280.55,       277.40,       279.75,1.4
,Nifty50 TR 2x Lev,     10132.05,     10179.20,     10205.85,      9976.25,     10033.15,-98.9
,Nifty50 TR 1x Inv,       239.70,       239.15,       241.55,       238.80,       240.85,1.15
,Nifty50 Value 20,      8118.45,      8137.65,      8152.65,      8065.35,      8097.70,-20.75
,Nifty Mid Liq 15,      6339.20,      6358.40,      6373.20,      6260.05,      6269.75,-69.45
,Nifty Pvt Bank,     18270.80,     18324.00,     18387.60,     18082.35,     18116.00,-154.8
,NIFTY100 Qualty30,      3647.70,      3654.55,      3659.80,      3624.95,      3636.15,-11.55
,Nifty GS 8 13Yr,      2262.43,      2262.82,      2262.96,      2262.81,      2262.81,.38
,Nifty GS 10Yr,      2044.75,      2045.10,      2045.19,      2043.60,      2044.01,-.74
,Nifty GS 10Yr Cln,       941.39,       941.39,       941.43,       940.70,       940.89,-.5
,Nifty GS 4 8Yr,      2436.35,      2436.74,      2436.74,      2433.92,      2435.45,-.9
,Nifty GS 11 15Yr,      2420.61,      2421.06,      2421.06,      2419.26,      2419.72,-.89
,Nifty GS 15YrPlus,      2589.15,      2589.65,      2589.77,      2587.13,      2587.13,-2.02
,Nifty GS Compsite,      2317.63,      2318.03,      2318.03,      2316.41,      2316.90,-.73

,ADVANCES,855
,DECLINES,1153
,UNCHANGED,60

,Total securities that have hit their price bands today,373

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ZOMATO,EQ,       140.65,       132.90,-5.51,3390.97
,DRREDDY,EQ,      5411.25,      4843.35,-10.49,2918.05
,HDFCBANK,EQ,      1434.55,      1439.75,0.36,1616.75
,TATAMOTORS,EQ,       293.15,       291.40,-0.6,1612.34
,TATASTEEL,EQ,      1297.95,      1330.65,2.52,1367.55
,BAJFINANCE,EQ,      6162.45,      6231.45,1.12,1296.03
,HINDALCO,EQ,       400.05,       417.35,4.32,1171.65
,AXISBANK,EQ,       756.30,       731.70,-3.25,1144.7
,SBIN,EQ,       423.30,       429.95,1.57,1037.15
,RELIANCE,EQ,      2076.85,      2055.00,-1.05,1030.07
,INFY,EQ,      1603.90,      1602.55,-0.08,944.66
,DLF,EQ,       333.95,       337.00,0.91,921.56
,ICICIBANK,EQ,       676.75,       677.45,0.1,857.09
,JINDALSTEL,EQ,       403.80,       419.80,3.96,770.91
,KOTAKBANK,EQ,      1740.60,      1697.95,-2.45,739.32
,SBILIFE,EQ,      1076.65,      1105.15,2.65,667.1
,MANAPPURAM,EQ,       194.35,       209.50,7.8,661.01
,HDFC,EQ,      2464.30,      2433.95,-1.23,655.12
,LT,EQ,      1597.60,      1608.25,0.67,639.63
,SAIL,EQ,       129.60,       129.75,0.12,592.22
,BAJAJFINSV,EQ,     13525.05,     13807.85,2.09,567.86
,JUBLFOOD,EQ,      3559.50,      3669.55,3.09,526.24
,PEL,EQ,      2252.60,      2305.60,2.35,519.19
,ITC,EQ,       211.15,       208.65,-1.18,513.93
,TATACOFFEE,EQ,       215.50,       235.30,9.19,509.65

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       417.35,       400.05,4.32
,SBILIFE,EQ,      1105.15,      1076.65,2.65
,TATASTEEL,EQ,      1330.65,      1297.95,2.52
,BAJAJFINSV,EQ,     13807.85,     13525.05,2.09
,SBIN,EQ,       429.95,       423.30,1.57

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      4843.35,      5411.25,-10.49
,CIPLA,EQ,       913.10,       950.55,-3.94
,AXISBANK,EQ,       731.70,       756.30,-3.25
,ADANIPORTS,EQ,       663.20,       682.80,-2.87
,DIVISLAB,EQ,      4791.40,      4921.15,-2.64

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        62.95,                  7905950.90,124095
,21STCENMGM,EQ,        21.35,                   239157.65,11279
,3IINFOTECH,BE,         9.60,                 74270382.15,7765409
,3MINDIA,EQ,     24973.90,                 64851594.25,2613
,3PLAND,BE,        16.10,                   156739.75,9568
,509GS2022,GS,        93.45,                     4672.50,50
,5PAISA,EQ,       516.25,                 45176240.80,85208
,622GS2035,GS,       100.00,                    19700.00,200
,63MOONS,EQ,       100.35,                 25052664.35,247270
,667GS2050,GS,        96.25,                    10662.45,111
,676GS2061,GS,        98.00,                    21067.90,215
,772GS2055,GS,       115.60,                      115.60,1
,A2ZINFRA,EQ,         5.30,                  2040894.70,376599
,AAATECH,SM,        52.85,                   158550.00,3000
,AAKASH,EQ,       262.00,                 34496290.15,135427
,AARON,EQ,       130.25,                  4698707.80,36092
,AARTIDRUGS,EQ,       720.55,                276899721.35,382549
,AARTIIND,EQ,       898.25,               1023940512.50,1144038
,AARTISURF,EQ,      1535.30,                 66776055.40,42498
,AARVEEDEN,EQ,        23.80,                  1371563.85,58659
,AARVI,EQ,        71.15,                  2318582.65,32231
,AAVAS,EQ,      2586.70,                161227899.15,61222
,ABAN,EQ,        47.70,                 10615281.25,217345
,ABB,EQ,      1669.15,                409290166.10,240727
,ABCAPITAL,EQ,       117.40,                386661688.25,3257851
,ABFRL,EQ,       223.05,               1247472501.15,5605433
,ABSLBANETF,EQ,       346.69,                    16675.03,48
,ABSLNN50ET,EQ,       396.95,                   187822.50,469
,ABSLRIF6RD,MF,         9.01,                   161077.28,17000
,ABSLRIF6RG,MF,        10.16,                    55880.00,5500
,ACCELYA,EQ,      1367.85,                 51243826.05,37104
,ACCORD,SM,        22.30,                   308400.00,14000
,ACCURACY,EQ,        87.70,                  3367409.25,37485
,ACE,EQ,       261.60,                380063299.40,1440745
,ACEINTEG,SM,        17.45,                    52350.00,3000
,ACRYSIL,EQ,       583.60,                 18616185.60,31789
,ADANIENT,EQ,      1396.75,               4169237082.80,2978042
,ADANIGREEN,BE,       914.45,                101702401.30,110537
,ADANIPOWER,BE,        94.75,                252486017.40,2641412
,ADANITRANS,BE,       901.10,                 67992938.30,74722
,ADFFOODS,EQ,       958.40,                129799676.20,136587
,ADL,BE,        33.10,                   648584.80,19383
,ADORWELD,EQ,       722.05,                 13645074.70,18712
,ADROITINFO,BE,         7.50,                   233282.80,31093
,ADSL,EQ,        70.95,                 59522812.80,841335
,ADVANIHOTR,EQ,        72.45,                  5400494.85,74541
,ADVENZYMES,EQ,       403.25,                 60976272.50,150029
,AEGISCHEM,EQ,       310.40,                188617382.80,596064
,AFFLE,BE,      4265.30,                283301734.45,65853
,AGARIND,EQ,       353.90,                 16983120.35,47729
,AGCNET,BE,      1189.30,                  1292069.80,1086
,AGRITECH,EQ,        44.85,                  1018726.40,22600
,AGROPHOS,EQ,        15.20,                   743835.10,47949
,AHLADA,EQ,       195.20,                  8816396.10,44826
,AHLEAST,EQ,       199.40,                  5067633.75,25106
,AHLUCONT,EQ,       383.00,                  5754539.30,14918
,AHLWEST,EQ,       286.05,                  6748156.30,23734
,AIAENG,EQ,      2006.95,                 30359448.05,15043
,AILIMITED,SM,        25.00,                   225600.00,9000
,AIRAN,BE,        25.45,                  4207754.80,164388
,AIROLAM,SM,        39.10,                   117300.00,3000
,AISL,SM,        50.90,                  1138440.00,22800
,AJANTPHARM,EQ,      2248.70,                206130765.45,91916
,AJMERA,BE,       305.05,                 10425774.60,34056
,AJOONI,EQ,        54.25,                  3917962.40,72513
,AKASH,EQ,       203.15,                  6464973.70,31319
,AKG,EQ,        26.65,                   263393.70,9859
