,02-Aug-2021
The Nifty witnessed an intraday movement of about 58.25 points.The closing index was 0.77 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 66848.9
, Traded Quantity (in Lakhs), 29942.47
, Number of Trades, 23059355
, Total Market Capitalisation (Rs. Crores), 23581999.1

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15763.05,     15874.90,     15892.90,     15834.65,     15885.15,122.1
,NIFTY50 EQL Wgt,     17858.85,     17981.90,     18017.60,     17932.60,     18005.50,146.65
,NIFTY100 EQL Wgt,     19140.55,     19263.70,     19323.50,     19210.20,     19312.10,171.55
,NIFTY100 LowVol30,     12337.95,     12406.50,     12415.90,     12369.45,     12397.70,59.75
,NIFTY Alpha 50,     28513.05,     28792.30,     28864.25,     28687.30,     28778.80,265.75
,NIFTY MIDCAP 150,     10506.15,     10574.30,     10651.65,     10567.60,     10644.90,138.75
,NIFTY SMLCAP 50,      5292.50,      5329.80,      5349.75,      5314.60,      5343.35,50.85
,NIFTY SMLCAP 250,      9131.30,      9207.25,      9234.35,      9186.60,      9206.20,74.9
,NIFTY MIDSML 400,     10007.90,     10078.70,     10127.90,     10071.60,     10124.00,116.1
,NIFTY200 QUALTY30,     13745.75,     13832.30,     13841.55,     13783.60,     13818.70,72.95
,Nifty FinSrv25 50,     16636.85,     16751.60,     16797.75,     16692.05,     16762.30,125.45
,NIFTY AlphaLowVol,     16112.75,     16201.50,     16252.40,     16162.80,     16204.10,91.35
,Nifty200Momentm30,     18737.05,     18873.40,     18979.70,     18755.20,     18936.45,199.4
,Nifty100ESGSecLdr,      2677.00,      2695.50,      2699.40,      2688.30,      2698.15,21.15
,Nifty IT,     30480.05,     30681.95,     30832.30,     30547.00,     30803.00,322.95
,Nifty Next 50,     39363.65,     39607.60,     39757.20,     39485.95,     39721.35,357.7
,Nifty Bank,     34584.35,     34760.90,     34861.75,     34588.25,     34710.00,125.65
,NIFTY MIDCAP 100,     27815.25,     27984.45,     28274.65,     27973.55,     28250.40,435.15
,Nifty 500,     13664.25,     13759.80,     13789.90,     13732.85,     13783.70,119.45
,Nifty 100,     16040.15,     16151.80,     16174.95,     16112.80,     16166.95,126.8
,Nifty Midcap 50,      7658.40,      7704.10,      7785.30,      7688.05,      7778.85,120.45
,Nifty Realty,       398.65,       400.65,       420.75,       400.10,       417.75,19.1
,Nifty Infra,      4432.30,      4460.35,      4503.30,      4450.35,      4500.00,67.7
,Nifty Energy,     18934.15,     19045.90,     19252.45,     18982.05,     19229.15,295
,Nifty FMCG,     36051.90,     36250.15,     36385.45,     36123.70,     36199.95,148.05
,Nifty MNC,     17762.40,     17883.20,     17994.40,     17866.00,     17957.65,195.25
,Nifty Pharma,     14425.30,     14516.00,     14588.65,     14381.65,     14474.95,49.65
,Nifty PSE,      3584.95,      3609.90,      3638.15,      3589.75,      3632.25,47.3
,Nifty PSU Bank,      2441.35,      2462.50,      2478.85,      2454.95,      2461.90,20.55
,Nifty Serv Sector,     21930.60,     22080.90,     22091.45,     21981.55,     22058.05,127.45
,India VIX,12.8025,12.8025,13.0900,11.5175,12.8050,0.0025
,Nifty Auto,     10048.50,     10162.75,     10190.30,     10114.10,     10183.45,134.95
,Nifty Metal,      5770.35,      5815.65,      5832.35,      5752.70,      5781.30,10.95
,Nifty Media,      1796.00,      1808.25,      1811.20,      1783.10,      1796.70,.7
,NIFTY SMLCAP 100,     10522.10,     10609.40,     10634.60,     10578.15,     10617.45,95.35
,Nifty 200,      8396.15,      8453.60,      8475.40,      8435.50,      8471.15,75
,Nifty Div Opps 50,      3402.85,      3422.75,      3435.00,      3414.60,      3432.30,29.45
,Nifty Commodities,      5387.05,      5416.45,      5459.65,      5390.25,      5448.00,60.95
,Nifty Consumption,      6372.35,      6418.55,      6430.80,      6407.80,      6424.15,51.8
,Nifty Fin Service,     16468.65,     16577.95,     16603.45,     16484.55,     16539.55,70.9
,Nifty50 Div Point,        99.58,       100.57,       100.57,       100.57,       100.57,.99
,Nifty100 Liq 15,      4088.10,      4115.90,      4125.85,      4104.25,      4113.95,25.85
,Nifty CPSE,      2043.00,      2049.00,      2052.10,      2036.35,      2045.75,2.75
,Nifty GrowSect 15,      7464.50,      7515.85,      7530.20,      7491.45,      7510.20,45.7
,Nifty50 PR 2x Lev,      7443.70,      7547.30,      7563.90,      7513.10,      7557.00,113.3
,Nifty50 PR 1x Inv,       279.55,       277.60,       278.25,       277.30,       277.45,-2.1
,Nifty50 TR 2x Lev,     10061.85,     10203.10,     10225.60,     10156.90,     10216.20,154.35
,Nifty50 TR 1x Inv,       240.55,       238.90,       239.45,       238.60,       238.75,-1.8
,Nifty50 Value 20,      8173.45,      8222.35,      8248.05,      8197.70,      8241.35,67.9
,Nifty Mid Liq 15,      6387.35,      6425.20,      6503.85,      6410.35,      6498.10,110.75
,Nifty Pvt Bank,     17975.85,     18055.70,     18130.95,     17980.70,     18036.65,60.8
,NIFTY100 Qualty30,      3634.95,      3660.35,      3661.25,      3647.70,      3655.50,20.55
,Nifty GS 8 13Yr,      2261.84,      2262.22,      2265.04,      2262.22,      2264.76,2.92
,Nifty GS 10Yr,      2041.77,      2042.12,      2043.80,      2042.12,      2042.88,1.11
,Nifty GS 10Yr Cln,       939.21,       939.21,       939.99,       939.21,       939.56,.35
,Nifty GS 4 8Yr,      2434.30,      2434.69,      2437.03,      2434.69,      2436.03,1.73
,Nifty GS 11 15Yr,      2414.79,      2415.23,      2419.38,      2415.23,      2418.07,3.28
,Nifty GS 15YrPlus,      2591.89,      2592.40,      2595.51,      2592.40,      2595.00,3.11
,Nifty GS Compsite,      2315.65,      2316.05,      2319.07,      2316.05,      2318.04,2.39

,ADVANCES,1329
,DECLINES,709
,UNCHANGED,69

,Total securities that have hit their price bands today,432

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IRCTC,EQ,      2331.30,      2468.90,5.9,1815.96
,SUNPHARMA,EQ,       773.95,       775.00,0.14,1452.47
,TATASTEEL,EQ,      1434.30,      1410.05,-1.69,1385.82
,TATAPOWER,EQ,       125.00,       133.45,6.76,1339.33
,HDFC,EQ,      2441.15,      2462.05,0.86,1231.24
,RELIANCE,EQ,      2035.30,      2072.50,1.83,1042.4
,HDFCBANK,EQ,      1426.45,      1422.65,-0.27,945.27
,ZOMATO,EQ,       133.50,       139.70,4.64,924.26
,INFY,EQ,      1610.50,      1631.55,1.31,903.85
,PIIND,EQ,      2950.20,      3316.50,12.42,881.31
,TCS,EQ,      3167.45,      3219.40,1.64,834.65
,CHOLAFIN,EQ,       475.75,       526.45,10.66,818.77
,VEDL,EQ,       301.85,       313.25,3.78,816.13
,SBIN,EQ,       431.80,       434.90,0.72,735.65
,DLF,EQ,       337.65,       351.85,4.21,720.82
,IBULHSGFIN,EQ,       275.45,       287.00,4.19,674.38
,BRITANNIA,EQ,      3423.40,      3504.65,2.37,661.05
,ICICIBANK,EQ,       682.50,       681.40,-0.16,638.6
,PEL,EQ,      2318.60,      2489.85,7.39,630.53
,BAJFINANCE,EQ,      6228.10,      6200.50,-0.44,629.83
,SAIL,EQ,       142.05,       139.50,-1.8,621.99
,ADANIPORTS,EQ,       674.50,       692.00,2.59,615.87
,TATAMOTORS,EQ,       293.95,       296.85,0.99,572.89
,SRF,EQ,      8658.70,      9004.95,4,563.88
,BANDHANBNK,EQ,       291.25,       299.55,2.85,525.27

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SHREECEM,EQ,     29294.25,     28265.75,3.64
,TITAN,EQ,      1771.55,      1714.55,3.32
,EICHERMOT,EQ,      2602.60,      2530.25,2.86
,BPCL,EQ,       457.80,       445.50,2.76
,GRASIM,EQ,      1591.65,      1551.35,2.6

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,UPL,EQ,       791.05,       808.55,-2.16
,TATASTEEL,EQ,      1410.05,      1434.30,-1.69
,BAJAJFINSV,EQ,     14125.15,     14222.20,-0.68
,BAJFINANCE,EQ,      6200.50,      6228.10,-0.44
,NTPC,EQ,       117.75,       118.20,-0.38

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        66.60,                 12838862.60,191472
,21STCENMGM,EQ,        23.00,                   229724.00,9988
,396GS2022,GS,        81.30,                     8130.00,100
,3IINFOTECH,BE,         9.25,                 38671971.05,4154899
,3MINDIA,EQ,     24672.55,                 25205382.60,1022
,3PLAND,BE,        16.00,                   110764.25,6808
,5PAISA,EQ,       514.85,                 20747219.15,40060
,622GS2035,GS,        97.50,                    29150.00,300
,63MOONS,EQ,       103.60,                 34060884.30,326478
,667GS2050,GS,        96.00,                    10860.00,110
,676GS2061,GS,        99.00,                    19825.00,200
,74GS2035,GS,       100.50,                    20100.00,200
,A2ZINFRA,EQ,         5.25,                  1540237.55,290956
,AAATECH,SM,        49.50,                   747150.00,15000
,AAKASH,EQ,       259.25,                 21888047.40,83647
,AARON,EQ,       116.90,                  3119562.95,26552
,AARTIDRUGS,EQ,       669.45,                235329633.65,351309
,AARTIIND,EQ,       948.15,               1374212008.70,1446669
,AARTISURF,EQ,      1514.45,                 55964130.95,36613
,AARVEEDEN,EQ,        28.55,                  3391968.35,119841
,AARVI,EQ,        70.10,                  4888166.15,69728
,AAVAS,EQ,      2469.70,                225529630.25,91187
,ABAN,EQ,        48.35,                 15333745.35,326794
,ABB,EQ,      1683.45,                381854919.95,223836
,ABCAPITAL,EQ,       118.95,                636870039.20,5367390
,ABFRL,EQ,       224.50,                651185595.10,2897320
,ABSLBANETF,EQ,       345.53,                    44937.49,130
,ABSLNN50ET,EQ,       402.31,                    88969.63,220
,ABSLRIF6RD,MF,         9.36,                       84.24,9
,ABSLRIF6RG,MF,        10.25,                   183890.87,18007
,ACCELYA,EQ,      1348.40,                 59621289.70,43772
,ACCURACY,EQ,        95.50,                  8767733.65,92348
,ACE,EQ,       255.50,                348678724.05,1376923
,ACRYSIL,EQ,       678.00,                223327788.05,335866
,ADANIENT,EQ,      1438.20,               3562409959.25,2483790
,ADANIGREEN,BE,       876.15,                980790349.70,1113774
,ADANIPOWER,BE,        92.85,                609204656.55,6512680
,ADANITRANS,BE,       908.80,                 68965719.80,76338
,ADFFOODS,EQ,       886.40,                 42740662.70,47752
,ADL,BE,        38.20,                   425150.35,11140
,ADORWELD,EQ,       735.45,                  8855731.90,12035
,ADROITINFO,BE,         9.00,                    19558.00,2182
,ADSL,EQ,        69.50,                 23174789.20,326604
,ADVANIHOTR,EQ,        72.50,                  2613411.00,35942
,ADVENZYMES,EQ,       425.30,                518464603.70,1233999
,AEGISCHEM,EQ,       306.90,                445805441.90,1446692
,AFFLE,BE,      4259.40,                165950177.55,39203
,AGARIND,EQ,       362.60,                 27252868.10,76058
,AGCNET,BE,      1167.40,                  1934771.25,1637
,AGRITECH,EQ,        49.70,                  1992005.55,40579
,AGROPHOS,EQ,        15.70,                   752112.40,47125
,AHLADA,EQ,       226.55,                 41342273.15,186662
,AHLEAST,EQ,       190.15,                  1561590.85,8154
,AHLUCONT,EQ,       395.85,                 16803783.15,42055
,AHLWEST,EQ,       278.75,                  2692502.40,9580
,AIAENG,EQ,      1964.75,                 74400198.75,37629
,AILIMITED,SM,        26.50,                    79500.00,3000
,AIRAN,BE,        25.50,                  1165982.30,45869
,AIROLAM,SM,        39.50,                   118500.00,3000
,AISL,SM,        47.80,                  1105800.00,24000
,AJANTPHARM,EQ,      2253.55,                222281670.25,97716
,AJMERA,BE,       320.90,                 22233520.05,69916
,AJOONI,EQ,        61.80,                  7453977.90,120926
,AKASH,EQ,       193.85,                  1937892.70,9941
,AKG,EQ,        25.30,                    99086.10,3897
,AKSHARCHEM,EQ,       442.20,                  8166034.15,18439
