,07-Mar-2022
The Nifty witnessed an intraday movement of about 233.15 points.The closing index was 2.35 % down as compared to the previous closing index.

The Nifty witnessed an intraday movement of about 233.15 points.The closing index was 2.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 71007.03
, Traded Quantity (in Lakhs), 27723.56
, Number of Trades, 27471725
, Total Market Capitalisation (Rs. Crores), 23899636.21

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     16245.35,     15867.95,     15944.60,     15711.45,     15863.15,-382.2
,Nifty 50,     16245.35,     15867.95,     15944.60,     15711.45,     15863.15,-382.2
,NIFTY50 EQL Wgt,     18319.15,     17992.80,     18058.20,     17805.60,     18013.55,-305.6
,NIFTY50 EQL Wgt,     18319.15,     17992.80,     18058.20,     17805.60,     18013.55,-305.6
,NIFTY100 EQL Wgt,     19165.45,     18847.60,     18869.35,     18589.45,     18761.05,-404.4
,NIFTY100 EQL Wgt,     19165.45,     18847.60,     18869.35,     18589.45,     18761.05,-404.4
,NIFTY100 LowVol30,     12104.35,     11849.35,     11892.45,     11727.50,     11812.90,-291.45
,NIFTY100 LowVol30,     12104.35,     11849.35,     11892.45,     11727.50,     11812.90,-291.45
,NIFTY Alpha 50,     31958.75,     31331.90,     31616.65,     30966.30,     31363.05,-595.7
,NIFTY Alpha 50,     31958.75,     31331.90,     31616.65,     30966.30,     31363.05,-595.7
,NIFTY MIDCAP 150,     10351.45,     10160.80,     10175.95,      9990.35,     10124.05,-227.4
,NIFTY MIDCAP 150,     10351.45,     10160.80,     10175.95,      9990.35,     10124.05,-227.4
,NIFTY SMLCAP 50,      4497.20,      4407.10,      4439.90,      4356.25,      4427.40,-69.8
,NIFTY SMLCAP 50,      4497.20,      4407.10,      4439.90,      4356.25,      4427.40,-69.8
,NIFTY SMLCAP 250,      8804.10,      8634.15,      8651.35,      8526.30,      8599.35,-204.75
,NIFTY SMLCAP 250,      8804.10,      8634.15,      8651.35,      8526.30,      8599.35,-204.75
,NIFTY MIDSML 400,      9793.05,      9609.90,      9625.60,      9462.00,      9573.90,-219.15
,NIFTY MIDSML 400,      9793.05,      9609.90,      9625.60,      9462.00,      9573.90,-219.15
,NIFTY200 QUALTY30,     13689.30,     13466.15,     13529.50,     13345.10,     13494.95,-194.35
,NIFTY200 QUALTY30,     13689.30,     13466.15,     13529.50,     13345.10,     13494.95,-194.35
,Nifty FinSrv25 50,     15809.75,     15365.10,     15400.00,     14984.25,     15134.75,-675
,Nifty FinSrv25 50,     15809.75,     15365.10,     15400.00,     14984.25,     15134.75,-675
,NIFTY AlphaLowVol,     15872.70,     15557.45,     15647.95,     15408.65,     15527.30,-345.4
,NIFTY AlphaLowVol,     15872.70,     15557.45,     15647.95,     15408.65,     15527.30,-345.4
,Nifty200Momentm30,     18866.85,     18502.30,     18622.85,     18300.80,     18531.05,-335.8
,Nifty200Momentm30,     18866.85,     18502.30,     18622.85,     18300.80,     18531.05,-335.8
,Nifty100ESGSecLdr,      2745.05,      2685.20,      2703.45,      2664.30,      2686.85,-58.2
,Nifty100ESGSecLdr,      2745.05,      2685.20,      2703.45,      2664.30,      2686.85,-58.2
,NIFTY100 ESG,      3282.20,      3214.20,      3229.65,      3180.20,      3204.95,-77.25
,NIFTY100 ESG,      3282.20,      3214.20,      3229.65,      3180.20,      3204.95,-77.25
,NIFTY M150 QLTY50,     15730.65,     15512.10,     15585.55,     15303.95,     15502.90,-227.75
,NIFTY M150 QLTY50,     15730.65,     15512.10,     15585.55,     15303.95,     15502.90,-227.75
,NIFTY INDIA MFG,      7452.60,      7349.30,      7374.90,      7243.30,      7355.95,-96.65
,NIFTY INDIA MFG,      7452.60,      7349.30,      7374.90,      7243.30,      7355.95,-96.65
,Nifty IT,     34177.70,     33524.60,     34435.60,     33499.35,     34135.90,-41.8
,Nifty IT,     34177.70,     33524.60,     34435.60,     33499.35,     34135.90,-41.8
,Nifty Next 50,     39042.30,     38404.15,     38430.20,     37712.10,     38014.90,-1027.4
,Nifty Next 50,     39042.30,     38404.15,     38430.20,     37712.10,     38014.90,-1027.4
,Nifty Bank,     34407.80,     33278.15,     33543.30,     32376.50,     32871.25,-1536.55
,Nifty Bank,     34407.80,     33278.15,     33543.30,     32376.50,     32871.25,-1536.55
,NIFTY MIDCAP 100,     27517.10,     27000.70,     27012.45,     26532.65,     26865.90,-651.2
,NIFTY MIDCAP 100,     27517.10,     27000.70,     27012.45,     26532.65,     26865.90,-651.2
,Nifty 500,     13893.15,     13594.75,     13637.50,     13438.30,     13564.25,-328.9
,Nifty 500,     13893.15,     13594.75,     13637.50,     13438.30,     13564.25,-328.9
,Nifty 100,     16482.85,     16116.10,     16180.60,     15938.75,     16086.95,-395.9
,Nifty 100,     16482.85,     16116.10,     16180.60,     15938.75,     16086.95,-395.9
,Nifty Midcap 50,      7552.25,      7410.35,      7416.30,      7276.70,      7386.35,-165.9
,Nifty Midcap 50,      7552.25,      7410.35,      7416.30,      7276.70,      7386.35,-165.9
,Nifty Realty,       416.45,       406.15,       406.60,       389.30,       393.65,-22.8
,Nifty Realty,       416.45,       406.15,       406.60,       389.30,       393.65,-22.8
,Nifty Infra,      4655.70,      4571.15,      4591.50,      4513.75,      4578.50,-77.2
,Nifty Infra,      4655.70,      4571.15,      4591.50,      4513.75,      4578.50,-77.2
,Nifty Energy,     24491.35,     24156.40,     24336.60,     23961.00,     24207.60,-283.75
,Nifty Energy,     24491.35,     24156.40,     24336.60,     23961.00,     24207.60,-283.75
,Nifty FMCG,     34627.85,     33960.10,     34072.60,     33407.55,     33657.45,-970.4
,Nifty FMCG,     34627.85,     33960.10,     34072.60,     33407.55,     33657.45,-970.4
,Nifty MNC,     17557.35,     17253.20,     17293.00,     16957.65,     17066.10,-491.25
,Nifty MNC,     17557.35,     17253.20,     17293.00,     16957.65,     17066.10,-491.25
,Nifty Pharma,     12600.15,     12436.75,     12570.70,     12290.90,     12546.85,-53.3
,Nifty Pharma,     12600.15,     12436.75,     12570.70,     12290.90,     12546.85,-53.3
,Nifty PSE,      4007.65,      3995.85,      4073.85,      3962.60,      4065.65,58
,Nifty PSE,      4007.65,      3995.85,      4073.85,      3962.60,      4065.65,58
,Nifty PSU Bank,      2579.00,      2516.35,      2532.20,      2429.60,      2460.95,-118.05
,Nifty PSU Bank,      2579.00,      2516.35,      2532.20,      2429.60,      2460.95,-118.05
,Nifty Serv Sector,     22657.85,     22053.95,     22237.85,     21892.00,     22090.55,-567.3
,Nifty Serv Sector,     22657.85,     22053.95,     22237.85,     21892.00,     22090.55,-567.3
,India VIX,27.9575,27.9575,30.2775,27.9575,29.3300,1.3725
,India VIX,27.9575,27.9575,30.2775,27.9575,29.3300,1.3725
,Nifty Auto,      9896.65,      9648.80,      9655.00,      9374.00,      9480.45,-416.2
,Nifty Auto,      9896.65,      9648.80,      9655.00,      9374.00,      9480.45,-416.2
,Nifty Metal,      6010.15,      6014.30,      6156.95,      5988.45,      6136.15,126
,Nifty Metal,      6010.15,      6014.30,      6156.95,      5988.45,      6136.15,126
,Nifty Media,      1997.10,      1958.30,      1996.05,      1928.75,      1987.80,-9.3
,Nifty Media,      1997.10,      1958.30,      1996.05,      1928.75,      1987.80,-9.3
,NIFTY SMLCAP 100,      9751.95,      9544.10,      9598.20,      9436.15,      9552.60,-199.35
,NIFTY SMLCAP 100,      9751.95,      9544.10,      9598.20,      9436.15,      9552.60,-199.35
,Nifty 200,      8585.00,      8397.85,      8425.15,      8300.05,      8379.20,-205.8
,Nifty 200,      8585.00,      8397.85,      8425.15,      8300.05,      8379.20,-205.8
,Nifty Div Opps 50,      3535.35,      3483.30,      3508.90,      3461.65,      3503.20,-32.15
,Nifty Div Opps 50,      3535.35,      3483.30,      3508.90,      3461.65,      3503.20,-32.15
,Nifty Commodities,      5607.25,      5558.00,      5611.65,      5501.10,      5599.25,-8
,Nifty Commodities,      5607.25,      5558.00,      5611.65,      5501.10,      5599.25,-8
,Nifty Consumption,      6403.70,      6266.35,      6289.45,      6189.60,      6263.35,-140.35
,Nifty Consumption,      6403.70,      6266.35,      6289.45,      6189.60,      6263.35,-140.35
,Nifty Fin Service,     16080.15,     15567.80,     15627.55,     15220.15,     15391.15,-689
,Nifty Fin Service,     16080.15,     15567.80,     15627.55,     15220.15,     15391.15,-689
,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0
,Nifty50 Div Point,       189.17,       189.17,       189.17,       189.17,       189.17,0
,Nifty100 Liq 15,      4253.90,      4160.80,      4175.35,      4102.55,      4138.95,-114.95
,Nifty100 Liq 15,      4253.90,      4160.80,      4175.35,      4102.55,      4138.95,-114.95
,Nifty CPSE,      2474.15,      2472.45,      2567.10,      2463.65,      2560.80,86.65
,Nifty CPSE,      2474.15,      2472.45,      2567.10,      2463.65,      2560.80,86.65
,Nifty GrowSect 15,      7065.90,      6930.55,      6938.35,      6822.30,      6889.70,-176.2
,Nifty GrowSect 15,      7065.90,      6930.55,      6938.35,      6822.30,      6889.70,-176.2
,Nifty50 PR 2x Lev,      7620.15,      7263.85,      7551.40,      7119.15,      7259.35,-360.8
,Nifty50 PR 2x Lev,      7620.15,      7263.85,      7551.40,      7119.15,      7259.35,-360.8
,Nifty50 PR 1x Inv,       272.35,       278.75,       281.30,       273.60,       278.80,6.45
,Nifty50 PR 1x Inv,       272.35,       278.75,       281.30,       273.60,       278.80,6.45
,Nifty50 TR 2x Lev,     10407.05,      9920.50,     10313.20,      9722.90,      9914.35,-492.7
,Nifty50 TR 2x Lev,     10407.05,      9920.50,     10313.20,      9722.90,      9914.35,-492.7
,Nifty50 TR 1x Inv,       233.15,       238.65,       240.85,       234.25,       238.70,5.55
,Nifty50 TR 1x Inv,       233.15,       238.65,       240.85,       234.25,       238.70,5.55
,Nifty50 Value 20,      8632.80,      8496.45,      8623.15,      8470.45,      8606.95,-25.85
,Nifty50 Value 20,      8632.80,      8496.45,      8623.15,      8470.45,      8606.95,-25.85
,Nifty Mid Liq 15,      6710.70,      6574.35,      6578.80,      6429.00,      6535.75,-174.95
,Nifty Mid Liq 15,      6710.70,      6574.35,      6578.80,      6429.00,      6535.75,-174.95
,Nifty Pvt Bank,     17478.85,     16936.50,     17054.10,     16398.20,     16644.70,-834.15
,Nifty Pvt Bank,     17478.85,     16936.50,     17054.10,     16398.20,     16644.70,-834.15
,NIFTY100 Qualty30,      3602.35,      3532.30,      3543.55,      3492.00,      3528.20,-74.15
,NIFTY100 Qualty30,      3602.35,      3532.30,      3543.55,      3492.00,      3528.20,-74.15
,Nifty GS 8 13Yr,      2272.62,      2273.05,      2273.05,      2263.74,      2263.99,-8.63
,Nifty GS 8 13Yr,      2272.62,      2273.05,      2273.05,      2263.74,      2263.99,-8.63
,Nifty GS 10Yr,      2028.95,      2029.32,      2029.32,      2017.52,      2018.34,-10.61
,Nifty GS 10Yr,      2028.95,      2029.32,      2029.32,      2017.52,      2018.34,-10.61
,Nifty GS 10Yr Cln,       898.86,       898.86,       898.86,       893.59,       893.95,-4.91
,Nifty GS 10Yr Cln,       898.86,       898.86,       898.86,       893.59,       893.95,-4.91
,Nifty GS 4 8Yr,      2494.18,      2494.59,      2494.59,      2485.34,      2485.81,-8.37
,Nifty GS 4 8Yr,      2494.18,      2494.59,      2494.59,      2485.34,      2485.81,-8.37
,Nifty GS 11 15Yr,      2448.30,      2448.76,      2448.76,      2432.30,      2432.30,-16
,Nifty GS 11 15Yr,      2448.30,      2448.76,      2448.76,      2432.30,      2432.30,-16
,Nifty GS 15YrPlus,      2676.27,      2676.80,      2676.80,      2656.42,      2656.42,-19.85
,Nifty GS 15YrPlus,      2676.27,      2676.80,      2676.80,      2656.42,      2656.42,-19.85
,Nifty GS Compsite,      2348.84,      2349.25,      2349.25,      2337.18,      2337.51,-11.33
,Nifty GS Compsite,      2348.84,      2349.25,      2349.25,      2337.18,      2337.51,-11.33
,NIFTY HEALTHCARE,      7890.35,      7777.50,      7871.45,      7697.90,      7850.05,-40.3
,NIFTY HEALTHCARE,      7890.35,      7777.50,      7871.45,      7697.90,      7850.05,-40.3
,NIFTY CONSR DURBL,     26329.35,     25949.95,     25987.75,     25399.15,     25751.20,-578.15
,NIFTY CONSR DURBL,     26329.35,     25949.95,     25987.75,     25399.15,     25751.20,-578.15
,NIFTY OIL AND GAS,      7388.00,      7332.70,      7404.75,      7275.15,      7378.75,-9.25
,NIFTY OIL AND GAS,      7388.00,      7332.70,      7404.75,      7275.15,      7378.75,-9.25
,NIFTY500 MULTICAP,      9055.10,      8868.60,      8891.70,      8762.35,      8843.75,-211.35
,NIFTY500 MULTICAP,      9055.10,      8868.60,      8891.70,      8762.35,      8843.75,-211.35
,NIFTY LARGEMID250,      8990.40,      8807.25,      8829.00,      8697.55,      8783.50,-206.9
,NIFTY LARGEMID250,      8990.40,      8807.25,      8829.00,      8697.55,      8783.50,-206.9
,NIFTY MID SELECT,      6747.80,      6618.50,      6618.50,      6479.85,      6575.65,-172.15
,NIFTY MID SELECT,      6747.80,      6618.50,      6618.50,      6479.85,      6575.65,-172.15
,NIFTY TOTAL MKT,      7726.60,      7561.15,      7584.50,      7473.50,      7543.00,-183.6
,NIFTY TOTAL MKT,      7726.60,      7561.15,      7584.50,      7473.50,      7543.00,-183.6
,NIFTY MICROCAP250,      9505.25,      9331.85,      9340.90,      9186.00,      9245.35,-259.9
,NIFTY MICROCAP250,      9505.25,      9331.85,      9340.90,      9186.00,      9245.35,-259.9
,NIFTY IND DIGITAL,      6077.25,      5954.50,      6052.95,      5920.65,      6006.80,-70.45
