,13-Nov-2024
The Nifty witnessed an intraday movement of about 364 points.The closing index was 1.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101536.12
, Traded Quantity (in Lakhs), 35631.72
, Number of Trades, 44262610
, Total Market Capitalisation (Rs. Crores), 42614554.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23883.45,     23822.45,     23873.60,     23509.60,     23559.05,-324.4
,NIFTY50 EQL Wgt,     30035.30,     29938.35,     29996.85,     29532.45,     29592.95,-442.35
,NIFTY100 EQL Wgt,     31766.90,     31674.25,     31786.35,     31129.65,     31199.85,-567.05
,NIFTY100 LowVol30,     19272.50,     19226.35,     19265.00,     19039.00,     19075.65,-196.85
,NIFTY Alpha 50,     54396.65,     54175.55,     54324.45,     52500.35,     52646.25,-1750.4
,NIFTY MIDCAP 150,     20560.60,     20478.70,     20506.70,     19955.75,     20010.75,-549.85
,NIFTY SMLCAP 50,      8674.85,      8631.55,      8649.95,      8414.65,      8427.70,-247.15
,NIFTY SMLCAP 250,     17196.40,     17121.30,     17134.65,     16644.70,     16670.35,-526.05
,NIFTY MIDSML 400,     19401.45,     19321.45,     19334.60,     18813.00,     18855.60,-545.85
,NIFTY200 QUALTY30,     21122.45,     21056.60,     21102.75,     20844.35,     20891.05,-231.4
,Nifty FinSrv25 50,     25519.35,     25453.20,     25545.10,     24978.00,     25068.50,-450.85
,NIFTY AlphaLowVol,     27575.30,     27535.65,     27578.25,     27218.30,     27266.80,-308.5
,Nifty200Momentm30,     33645.75,     33633.05,     33683.50,     32904.60,     32983.45,-662.3
,Nifty100ESGSecLdr,      3969.15,      3959.10,      3969.85,      3907.45,      3915.40,-53.75
,NIFTY100 ESG,      4735.65,      4722.25,      4737.70,      4662.65,      4672.60,-63.05
,NIFTY M150 QLTY50,     24387.15,     24288.10,     24327.00,     23772.35,     23835.05,-552.1
,NIFTY INDIA MFG,     13900.10,     13849.10,     13857.10,     13539.45,     13576.45,-323.65
,Nifty200 Alpha 30,     25672.95,     25658.15,     25686.40,     25165.45,     25239.50,-433.45
,NiftyM150Momntm50,     62785.65,     62631.50,     62678.75,     60823.50,     60998.70,-1786.95
,Nifty IT,     42609.55,     42484.45,     42659.70,     42201.40,     42369.50,-240.05
,Nifty Next 50,     68448.90,     68270.40,     68528.45,     66896.45,     67101.45,-1347.45
