,21-Nov-2024
The Nifty witnessed an intraday movement of about 244.15 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110779.62
, Traded Quantity (in Lakhs), 35287.97
, Number of Trades, 40259656
, Total Market Capitalisation (Rs. Crores), 42215798.29

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23518.50,     23488.45,     23507.30,     23263.15,     23349.90,-168.6
,NIFTY50 EQL Wgt,     29465.45,     29292.65,     29322.70,     29023.40,     29085.40,-380.05
,NIFTY100 EQL Wgt,     31267.10,     30938.15,     30959.45,     30513.10,     30708.85,-558.25
,NIFTY100 LowVol30,     18945.35,     18900.20,     18929.40,     18788.35,     18838.55,-106.8
,NIFTY Alpha 50,     53523.60,     53486.05,     53575.05,     52591.15,     53141.35,-382.25
,NIFTY MIDCAP 150,     20258.10,     20247.25,     20270.40,     20014.25,     20180.90,-77.2
,NIFTY SMLCAP 50,      8536.10,      8534.85,      8553.65,      8427.15,      8513.50,-22.6
,NIFTY SMLCAP 250,     16845.25,     16830.05,     16856.70,     16604.45,     16747.85,-97.4
,NIFTY MIDSML 400,     19076.00,     19063.25,     19087.40,     18831.10,     18989.75,-86.25
,NIFTY200 QUALTY30,     20677.90,     20676.50,     20699.35,     20480.70,     20570.00,-107.9
,Nifty FinSrv25 50,     25242.30,     25242.50,     25249.30,     24813.00,     25020.15,-222.15
,NIFTY AlphaLowVol,     27087.90,     26992.75,     27023.65,     26701.50,     26892.60,-195.3
,Nifty200Momentm30,     33127.55,     32976.90,     32977.15,     32331.80,     32603.70,-523.85
,Nifty100ESGSecLdr,      3910.30,      3898.65,      3901.80,      3860.20,      3875.35,-34.95
,NIFTY100 ESG,      4668.45,      4652.15,      4655.10,      4601.80,      4623.20,-45.25
,NIFTY M150 QLTY50,     23774.00,     23752.30,     23780.00,     23509.35,     23680.80,-93.2
,NIFTY INDIA MFG,     13714.60,     13693.25,     13701.60,     13549.25,     13634.15,-80.45
,Nifty200 Alpha 30,     25270.05,     25286.60,     25295.30,     24879.45,     25092.50,-177.55
,NiftyM150Momntm50,     61755.85,     61777.95,     61885.30,     60969.85,     61445.40,-310.45
,Nifty IT,     41748.35,     41928.90,     42325.85,     41678.20,     41952.80,204.45
,Nifty Next 50,     67775.50,     67395.75,     67404.35,     65996.00,     66765.45,-1010.05
,Nifty Bank,     50626.50,     50625.00,     50652.15,     49787.10,     50372.90,-253.6
,NIFTY MIDCAP 100,     54548.25,     54555.60,     54638.10,     53929.80,     54385.35,-162.9
,Nifty 500,     22004.35,     21947.75,     21954.20,     21692.80,     21820.85,-183.5
,Nifty 100,     24374.70,     24293.85,     24306.95,     24014.25,     24135.10,-239.6
,Nifty Midcap 50,     15185.00,     15193.65,     15240.80,     15028.65,     15167.55,-17.45
,Nifty Realty,       966.30,       968.50,       982.60,       953.95,       975.30,9
,Nifty Infra,      8381.10,      8355.30,      8358.05,      8236.95,      8306.30,-74.8
,Nifty Energy,     36584.20,     36059.00,     36104.95,     35440.85,     35789.30,-794.9
,Nifty FMCG,     56378.55,     56168.90,     56281.95,     55493.25,     55693.70,-684.85
,Nifty MNC,     27874.80,     27743.00,     27757.65,     27416.85,     27606.00,-268.8
,Nifty Pharma,     21768.85,     21672.05,     21857.85,     21552.90,     21740.10,-28.75
,Nifty PSE,      9718.25,      9708.10,      9710.80,      9447.10,      9592.00,-126.25
,Nifty PSU Bank,      6494.05,      6475.65,      6477.35,      6163.75,      6318.90,-175.15
,Nifty Serv Sector,     31137.60,     31115.65,     31134.10,     30807.30,     30967.85,-169.75
,India VIX,15.6625,15.6625,16.7800,14.8375,15.9900,0.3275
