,25-Nov-2024
The Nifty witnessed an intraday movement of about 216.1 points.The closing index was 1.32 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 199663.97
, Traded Quantity (in Lakhs), 46287.81
, Number of Trades, 42946796
, Total Market Capitalisation (Rs. Crores), 43598379.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23907.25,     24253.55,     24351.55,     24135.45,     24221.90,314.65
,NIFTY50 EQL Wgt,     29751.20,     30149.60,     30302.70,     30012.40,     30077.90,326.7
,NIFTY100 EQL Wgt,     31252.45,     31782.65,     31947.30,     31620.50,     31671.65,419.2
,NIFTY100 LowVol30,     19239.50,     19438.55,     19514.00,     19384.80,     19428.45,188.95
,NIFTY Alpha 50,     53614.70,     54995.15,     55283.75,     54850.75,     54927.80,1313.1
,NIFTY MIDCAP 150,     20412.65,     20742.90,     20833.10,     20706.20,     20725.70,313.05
,NIFTY SMLCAP 50,      8589.70,      8713.40,      8759.15,      8699.85,      8722.30,132.6
,NIFTY SMLCAP 250,     16912.30,     17199.70,     17286.05,     17169.40,     17269.55,357.25
,NIFTY MIDSML 400,     19196.45,     19512.65,     19593.70,     19492.55,     19530.75,334.3
,NIFTY200 QUALTY30,     21005.30,     21260.95,     21372.60,     21204.10,     21258.35,253.05
,Nifty FinSrv25 50,     25426.45,     25867.05,     26010.85,     25758.75,     25832.40,405.95
,NIFTY AlphaLowVol,     27450.00,     27782.80,     27997.85,     27762.15,     27885.35,435.35
,Nifty200Momentm30,     33317.30,     34059.30,     34302.75,     33921.95,     33998.65,681.35
,Nifty100ESGSecLdr,      3961.50,      4021.65,      4038.55,      4003.40,      4011.65,50.15
,NIFTY100 ESG,      4721.90,      4790.25,      4805.25,      4765.80,      4774.50,52.6
,NIFTY M150 QLTY50,     23920.50,     24205.40,     24410.10,     24186.05,     24329.70,409.2
,NIFTY INDIA MFG,     13841.05,     14057.00,     14123.15,     13989.50,     14013.95,172.9
,Nifty200 Alpha 30,     25532.85,     26047.60,     26218.30,     25987.00,     26139.55,606.7
,NiftyM150Momntm50,     62176.50,     63544.80,     63949.35,     63328.40,     63486.55,1310.05
,Nifty IT,     43332.10,     43697.85,     43751.65,     43337.60,     43618.15,286.05
,Nifty Next 50,     68016.85,     69337.75,     69907.45,     69249.35,     69342.70,1325.85
,Nifty Bank,     51135.40,     52046.35,     52331.10,     51774.05,     52207.50,1072.1
,NIFTY MIDCAP 100,     55016.85,     55951.40,     56168.50,     55844.40,     55900.55,883.7
,Nifty 500,     22225.55,     22578.65,     22676.25,     22510.80,     22553.50,327.95
,Nifty 100,     24655.35,     25041.45,     25153.55,     24938.80,     24993.65,338.3
,Nifty Midcap 50,     15353.70,     15610.10,     15666.80,     15579.45,     15604.05,250.35
,Nifty Realty,      1006.25,      1034.40,      1044.20,      1023.80,      1028.50,22.25
,Nifty Infra,      8537.95,      8677.40,      8775.45,      8665.45,      8721.25,183.3
,Nifty Energy,     36523.50,     37230.85,     37574.80,     36837.40,     37006.00,482.5
,Nifty FMCG,     56956.45,     57443.50,     57902.20,     57214.10,     57358.20,401.75
,Nifty MNC,     28043.45,     28415.80,     28754.75,     28397.40,     28549.25,505.8
,Nifty Pharma,     21962.05,     22163.85,     22275.70,     22064.90,     22177.05,215
,Nifty PSE,      9823.95,     10060.85,     10175.10,     10035.35,     10073.50,249.55
,Nifty PSU Bank,      6508.15,      6653.30,      6819.55,      6650.25,      6779.10,270.95
,Nifty Serv Sector,     31595.75,     32071.75,     32138.60,     31891.10,     32008.60,412.85
,India VIX,16.0975,16.0975,16.8650,13.6300,15.3025,-0.7950
,Nifty Auto,     23554.10,     23914.55,     24111.95,     23648.65,     23716.45,162.35
,Nifty Metal,      8846.20,      8973.60,      8978.95,      8865.95,      8883.00,36.8
,Nifty Media,      1892.60,      1920.00,      1935.10,      1910.90,      1927.35,34.75
,NIFTY SMLCAP 100,     17755.55,     18055.10,     18154.30,     18041.20,     18115.85,360.3
,Nifty 200,     13390.80,     13603.45,     13662.35,     13556.95,     13579.75,188.95
,Nifty Div Opps 50,      6397.45,      6491.55,      6532.50,      6476.60,      6492.40,94.95
,Nifty Commodities,      8311.10,      8440.95,      8503.05,      8364.80,      8383.60,72.5
,Nifty Consumption,     11304.05,     11458.10,     11527.55,     11364.35,     11386.20,82.15
,Nifty Fin Service,     23623.75,     24037.65,     24135.80,     23931.95,     24058.70,434.95
,Nifty50 Div Point,       233.03,       233.03,       233.03,       233.03,       233.03,0
,Nifty100 Liq 15,      6263.50,      6364.75,      6403.75,      6331.70,      6352.35,88.85
,Nifty CPSE,      6383.15,      6514.20,      6598.35,      6496.45,      6544.45,161.3
,Nifty GrowSect 15,     11946.30,     12072.00,     12117.95,     11959.40,     12012.00,65.7
,Nifty50 PR 2x Lev,     13318.75,     13697.15,     13806.20,     13566.35,     13661.85,343.1
,Nifty50 PR 1x Inv,       208.20,       205.30,       206.35,       204.45,       205.60,-2.6
,Nifty50 TR 2x Lev,     19442.45,     19994.85,     20154.05,     19803.90,     19943.35,500.9
,Nifty50 TR 1x Inv,       172.50,       170.10,       170.95,       169.40,       170.35,-2.15
,Nifty50 Value 20,     13693.60,     13850.35,     13896.10,     13783.30,     13830.40,136.8
,Nifty Mid Liq 15,     13883.90,     14101.95,     14193.15,     14048.55,     14173.95,290.05
,Nifty Pvt Bank,     25083.00,     25496.80,     25547.70,     25308.20,     25487.00,404
,NIFTY100 Qualty30,      5641.60,      5707.45,      5737.20,      5691.75,      5703.35,61.75
,Nifty GS 8 13Yr,      2732.71,      2733.23,      2738.67,      2733.22,      2737.57,4.86
,Nifty GS 10Yr,      2414.19,      2414.65,      2420.38,      2414.65,      2419.66,5.47
,Nifty GS 10Yr Cln,       884.28,       884.28,       886.40,       884.28,       886.14,1.86
,Nifty GS 4 8Yr,      2955.31,      2955.87,      2958.88,      2955.86,      2958.45,3.14
,Nifty GS 11 15Yr,      3025.09,      3025.67,      3032.52,      3025.66,      3031.62,6.53
,Nifty GS 15YrPlus,      3343.98,      3344.63,      3353.49,      3344.63,      3352.19,8.21
,Nifty GS Compsite,      2828.32,      2828.86,      2834.36,      2828.85,      2833.39,5.07
,NIFTY HEALTHCARE,     13996.05,     14123.55,     14187.10,     14039.30,     14102.15,106.1
,NIFTY CONSR DURBL,     39775.20,     40492.90,     40606.15,     40096.10,     40177.35,402.15
,NIFTY OIL AND GAS,     10677.05,     10883.70,     11077.55,     10865.00,     10979.00,301.95
,NIFTY500 MULTICAP,     15516.60,     15766.70,     15832.95,     15731.85,     15764.20,247.6
,NIFTY LARGEMID250,     15487.30,     15733.90,     15801.45,     15693.45,     15712.40,225.1
,NIFTY MID SELECT,     12306.85,     12499.40,     12594.15,     12458.00,     12576.40,269.55
,NIFTY TOTAL MKT,     12526.10,     12726.50,     12780.40,     12687.75,     12712.25,186.15
,NIFTY MICROCAP250,     23716.30,     24164.20,     24272.55,     24057.80,     24133.45,417.15
,NIFTY IND DIGITAL,      9302.30,      9415.20,      9478.70,      9388.10,      9438.45,136.15
,Nifty Tata 25 Cap,     16573.35,     16822.95,     16835.70,     16641.55,     16728.55,155.2
,Nifty MidSml Hlth,     41525.15,     42065.05,     42159.20,     41770.00,     41880.90,355.75
,Nifty Multi Mfg,     14581.70,     14804.20,     14885.50,     14756.95,     14784.05,202.35
,Nifty Multi Infra,     13436.40,     13662.60,     13754.55,     13652.45,     13683.65,247.25
,BHARATBOND-APR25,      1280.19,      1280.41,      1280.44,      1280.40,      1280.44,.25
,BHARATBOND-APR30,      1440.92,      1441.21,      1441.33,      1441.20,      1441.33,.41
,BHARATBOND-APR31,      1313.53,      1313.78,      1313.89,      1313.78,      1313.89,.36
,BHARATBOND-APR32,      1201.28,      1201.51,      1201.52,      1201.51,      1201.51,.23
,BHARATBOND-APR33,      1170.79,      1171.02,      1171.02,      1171.01,      1171.01,.22
,Nifty Ind Defence,      6062.00,      6232.90,      6319.60,      6216.70,      6253.35,191.35
,Nifty Ind Tourism,      8439.25,      8585.70,      8585.70,      8487.05,      8518.10,78.85
,Nifty Capital Mkt,      3677.70,      3746.50,      3776.75,      3694.65,      3717.25,39.55
,Nifty500Momentm50,     56909.20,     58417.35,     58776.20,     58088.70,     58184.85,1275.65
,NiftyMS400 MQ 100,     49753.35,     50742.70,     51025.45,     50704.85,     50917.85,1164.5
,NiftySml250MQ 100,     48246.15,     49205.45,     49429.45,     49093.30,     49256.45,1010.3
,Nifty Top 10 EW,      9382.75,      9505.75,      9546.45,      9454.85,      9521.95,139.2

,ADVANCES,1930
,DECLINES,883
,UNCHANGED,59

,Total securities that have hit their price bands today,256

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1745.60,      1785.60,2.29,38163.91
,BSE,EQ,      4719.95,      4686.80,-0.7,5820.87
,VOLTAS,EQ,      1653.40,      1644.25,-0.55,4579.73
,RELIANCE,EQ,      1265.40,      1287.00,1.71,3735.51
,KALYANKJIL,EQ,       706.45,       699.40,-1,3716.54
,OBEROIRLTY,EQ,      1941.85,      1946.85,0.26,3448.69
,ALKEM,EQ,      5583.35,      5478.30,-1.88,3330.28
,ZOMATO,EQ,       264.20,       273.31,3.45,3324.88
,ICICIBANK,EQ,      1278.05,      1300.95,1.79,2958.75
,ADANIGREEN,EQ,      1051.80,       968.80,-7.89,2875.59
,INFY,EQ,      1902.25,      1889.70,-0.66,2413.36
,SBIN,EQ,       816.05,       844.45,3.48,1977.23
,M&M,EQ,      3012.95,      3045.60,1.08,1933.44
,BHARTIARTL,EQ,      1569.30,      1578.75,0.6,1921.1
,LT,EQ,      3603.50,      3753.00,4.15,1778.78
,TCS,EQ,      4244.60,      4315.10,1.66,1743.82
,ADANIENT,EQ,      2228.00,      2257.50,1.32,1713.63
,ADANIPOWER,EQ,       460.45,       446.65,-3,1554.97
,BEL,EQ,       280.85,       292.35,4.09,1452.27
,PAYTM,EQ,       900.95,       892.95,-0.89,1448.99
,AXISBANK,EQ,      1142.40,      1155.90,1.18,1430.6
,HCLTECH,EQ,      1898.40,      1891.70,-0.35,1236.26
,ADANIPORTS,EQ,      1136.75,      1166.80,2.64,1229.1
,KOTAKBANK,EQ,      1761.45,      1790.75,1.66,1226.3
,TATAMOTORS,EQ,       791.00,       796.60,0.71,1215.07

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       257.90,       245.60,5.01
,LT,EQ,      3753.00,      3603.50,4.15
,BEL,EQ,       292.35,       280.85,4.09
,BPCL,EQ,       296.55,       285.85,3.74
,SBIN,EQ,       844.45,       816.05,3.48

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       953.30,       977.35,-2.46
,TECHM,EQ,      1732.60,      1747.45,-0.85
,INFY,EQ,      1889.70,      1902.25,-0.66
,BAJAJ-AUTO,EQ,      9420.95,      9481.65,-0.64
,ASIANPAINT,EQ,      2459.70,      2472.20,-0.51

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,0MOFSL26,N1,      1031.50,                   154650.00,150
,1003IIFL29,NC,       970.00,                    96615.00,99
,1003ISFL28,N4,       942.48,                  1401887.60,1487
,1015ECL29,NR,       985.00,                   133987.96,136
,1018GS2026,GS,       112.69,                     1014.21,9
,1025NFL25,N5,       994.00,                    24870.70,25
,1025SCL34B,N1,       940.00,                   141369.00,150
,1025UCL26A,N1,       997.00,                   199400.00,200
,1040UCL27B,N1,      1005.00,                    82406.20,82
,1050ISFL28,N5,      1004.00,                   571254.00,569
,1050UCL25,N7,       999.90,                     2999.70,3
,105IIFL29,N7,      1033.00,                  1251862.00,1195
,1065NFL27,NC,       992.00,                    91390.00,92
,1075SCL33A,N2,       965.00,                    22195.00,23
,1075UCL25,N9,      1041.39,                     1041.39,1
,1090NFL26,NB,      1037.13,                     1037.13,1
,10CAGL27,N5,      1020.00,                  1147495.00,1125
,10IIFL28,N4,       940.00,                   469852.80,500
,10IIFL28A,NE,       970.00,                  1517591.16,1568
,10IIFL29,N6,       998.00,                   222090.00,223
,10ISFL26,N3,      1040.80,                    41632.00,40
,182D040425,TB,        97.46,                    19492.00,200
,182D051224,TB,        99.81,                     9981.00,100
,182D060225,TB,        98.62,                   128206.00,1300
,182D100425,TB,        97.46,                     9746.00,100
