,13-Dec-2024
The Nifty witnessed an intraday movement of about 611.5 points.The closing index was 0.89 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 100830.25
, Traded Quantity (in Lakhs), 34438.38
, Number of Trades, 35359200
, Total Market Capitalisation (Rs. Crores), 45547684

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24548.70,     24498.35,     24792.30,     24180.80,     24768.30,219.6
,NIFTY50 EQL Wgt,     30379.80,     30304.20,     30598.40,     29912.75,     30571.75,191.95
,NIFTY100 EQL Wgt,     32801.50,     32733.60,     32890.75,     32228.40,     32867.45,65.95
,NIFTY100 LowVol30,     19575.10,     19533.55,     19779.65,     19341.85,     19763.30,188.2
,NIFTY Alpha 50,     59025.90,     58844.45,     58889.90,     57804.10,     58688.25,-337.65
,NIFTY MIDCAP 150,     21770.05,     21722.65,     21762.15,     21411.70,     21748.10,-21.95
,NIFTY SMLCAP 50,      9359.55,      9340.35,      9356.70,      9158.80,      9342.50,-17.05
,NIFTY SMLCAP 250,     18330.30,     18294.90,     18298.35,     17954.80,     18263.75,-66.55
,NIFTY MIDSML 400,     20592.55,     20549.55,     20571.55,     20225.60,     20552.15,-40.4
,NIFTY200 QUALTY30,     21569.70,     21547.85,     21749.05,     21332.60,     21736.10,166.4
,Nifty FinSrv25 50,     26592.70,     26535.65,     26694.25,     26044.70,     26665.25,72.55
,NIFTY AlphaLowVol,     28149.55,     28103.30,     28405.80,     27775.65,     28381.70,232.15
,Nifty200Momentm30,     35147.55,     35127.25,     35294.45,     34540.65,     35267.50,119.95
,Nifty100ESGSecLdr,      4106.90,      4097.15,      4140.65,      4046.25,      4137.15,30.25
,NIFTY100 ESG,      4901.90,      4889.80,      4931.75,      4825.70,      4928.05,26.15
,NIFTY M150 QLTY50,     25155.80,     25105.70,     25161.75,     24790.65,     25138.05,-17.75
,NIFTY INDIA MFG,     14374.80,     14357.60,     14397.30,     14134.00,     14385.05,10.25
,Nifty200 Alpha 30,     26993.40,     26991.55,     27132.25,     26613.20,     27115.30,121.9
,NiftyM150Momntm50,     67589.85,     67432.40,     67539.45,     66139.80,     67266.25,-323.6
,Nifty IT,     45701.65,     45496.95,     46088.90,     45073.50,     45995.80,294.15
,Nifty Next 50,     73082.60,     73026.70,     73068.20,     71711.50,     72965.95,-116.65
,Nifty Bank,     53216.45,     53109.80,     53654.00,     52264.55,     53583.80,367.35
,NIFTY MIDCAP 100,     59021.70,     58877.50,     59024.40,     58012.10,     58991.55,-30.15
,Nifty 500,     23256.40,     23208.35,     23378.55,     22879.90,     23358.95,102.55
,Nifty 100,     25546.40,     25493.85,     25745.75,     25148.90,     25724.60,178.2
,Nifty Midcap 50,     16463.85,     16425.05,     16464.60,     16193.90,     16456.25,-7.6
,Nifty Realty,      1089.85,      1085.20,      1092.45,      1061.05,      1085.05,-4.8
,Nifty Infra,      8846.65,      8843.45,      8960.50,      8739.10,      8951.70,105.05
,Nifty Energy,     37024.95,     37037.60,     37267.25,     36380.45,     37194.20,169.25
,Nifty FMCG,     56146.70,     56088.70,     56997.45,     55455.15,     56869.40,722.7
,Nifty MNC,     29353.00,     29307.25,     29507.95,     28997.10,     29480.65,127.65
