,24-Dec-2024
The Nifty witnessed an intraday movement of about 182.5 points.The closing index was 0.11 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 76436.14
, Traded Quantity (in Lakhs), 23868.77
, Number of Trades, 28280015
, Total Market Capitalisation (Rs. Crores), 43781472.1

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23753.45,     23769.10,     23867.65,     23685.15,     23727.65,-25.8
,NIFTY50 EQL Wgt,     29359.95,     29381.65,     29544.10,     29289.95,     29315.60,-44.35
,NIFTY100 EQL Wgt,     31374.90,     31399.90,     31534.55,     31260.40,     31316.25,-58.65
,NIFTY100 LowVol30,     19199.35,     19206.45,     19298.25,     19161.75,     19184.25,-15.1
,NIFTY Alpha 50,     56385.70,     56454.70,     56799.40,     56025.15,     56386.70,1
,NIFTY MIDCAP 150,     21076.15,     21100.60,     21160.90,     20959.15,     21080.70,4.55
,NIFTY SMLCAP 50,      8893.75,      8902.40,      8976.50,      8853.50,      8934.10,40.35
,NIFTY SMLCAP 250,     17618.10,     17641.80,     17731.65,     17543.30,     17672.45,54.35
,NIFTY MIDSML 400,     19883.95,     19908.30,     19978.85,     19783.25,     19908.90,24.95
,NIFTY200 QUALTY30,     20780.55,     20820.15,     20928.40,     20730.35,     20778.20,-2.35
,Nifty FinSrv25 50,     25361.75,     25367.15,     25424.05,     25244.25,     25310.40,-51.35
,NIFTY AlphaLowVol,     27361.00,     27378.85,     27479.30,     27288.85,     27361.55,.55
,Nifty200Momentm30,     33245.30,     33314.80,     33447.40,     33088.75,     33185.50,-59.8
,Nifty100ESGSecLdr,      3951.60,      3954.30,      3971.85,      3940.95,      3949.40,-2.2
,NIFTY100 ESG,      4704.75,      4708.40,      4730.50,      4687.75,      4700.10,-4.65
,NIFTY M150 QLTY50,     24265.75,     24290.30,     24356.95,     24160.90,     24261.55,-4.2
,NIFTY INDIA MFG,     13796.05,     13807.10,     13878.85,     13756.40,     13797.50,1.45
,Nifty200 Alpha 30,     26185.90,     26261.30,     26381.25,     26070.40,     26218.05,32.15
,NiftyM150Momntm50,     65304.30,     65390.45,     65435.55,     64725.70,     65038.90,-265.4
,Nifty IT,     43828.35,     43897.00,     44203.05,     43262.10,     43668.90,-159.45
,Nifty Next 50,     68888.95,     68957.60,     69231.90,     68571.85,     68857.25,-31.7
,Nifty Bank,     51317.60,     51314.95,     51382.10,     51137.50,     51233.00,-84.6
,NIFTY MIDCAP 100,     57092.90,     57161.15,     57322.35,     56755.80,     57057.90,-35
,Nifty 500,     22412.30,     22431.60,     22516.30,     22340.10,     22402.70,-9.6
,Nifty 100,     24599.75,     24617.30,     24715.70,     24534.90,     24572.50,-27.25
,Nifty Midcap 50,     15955.25,     15976.30,     16014.80,     15862.75,     15926.80,-28.45
,Nifty Realty,      1075.65,      1078.75,      1086.90,      1065.45,      1074.75,-.9
,Nifty Infra,      8510.10,      8520.05,      8574.20,      8481.00,      8505.05,-5.05
,Nifty Energy,     35147.75,     35185.65,     35464.70,     35046.80,     35084.95,-62.8
,Nifty FMCG,     56135.05,     56151.05,     56586.45,     56008.65,     56439.30,304.25
,Nifty MNC,     28000.75,     27977.55,     28029.30,     27852.05,     27940.25,-60.5
,Nifty Pharma,     22572.05,     22603.10,     22669.30,     22470.40,     22558.90,-13.15
,Nifty PSE,      9625.35,      9647.40,      9717.20,      9593.30,      9610.05,-15.3
,Nifty PSU Bank,      6646.50,      6653.45,      6669.55,      6581.35,      6609.55,-36.95
,Nifty Serv Sector,     31724.00,     31752.85,     31812.85,     31549.20,     31654.50,-69.5
,India VIX,13.5200,13.5200,15.0300,12.9750,13.1775,-0.3425
,Nifty Auto,     22557.75,     22565.45,     22810.20,     22510.60,     22685.55,127.8
,Nifty Metal,      8891.40,      8875.30,      8897.00,      8786.80,      8817.60,-73.8
,Nifty Media,      1880.45,      1886.05,      1893.90,      1868.60,      1874.15,-6.3
