,27-Dec-2024
The Nifty witnessed an intraday movement of about 138.25 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 79107.7
, Traded Quantity (in Lakhs), 24107.12
, Number of Trades, 29539502
, Total Market Capitalisation (Rs. Crores), 43843994.92

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23750.20,     23801.40,     23938.85,     23800.60,     23813.40,63.2
,NIFTY50 EQL Wgt,     29410.20,     29477.50,     29671.85,     29442.05,     29464.70,54.5
,NIFTY100 EQL Wgt,     31426.05,     31466.25,     31616.65,     31316.40,     31346.80,-79.25
,NIFTY100 LowVol30,     19199.55,     19234.95,     19337.60,     19214.35,     19259.80,60.25
,NIFTY Alpha 50,     56401.45,     56535.10,     56734.25,     56266.70,     56347.95,-53.5
,NIFTY MIDCAP 150,     21096.85,     21143.05,     21179.20,     21059.25,     21071.85,-25
,NIFTY SMLCAP 50,      8929.15,      8961.60,      8982.25,      8925.80,      8942.80,13.65
,NIFTY SMLCAP 250,     17667.45,     17700.75,     17757.60,     17668.30,     17715.20,47.75
,NIFTY MIDSML 400,     19916.55,     19957.95,     20001.05,     19902.50,     19921.00,4.45
,NIFTY200 QUALTY30,     20758.85,     20801.20,     20846.70,     20745.10,     20758.35,-.5
,Nifty FinSrv25 50,     25381.70,     25438.15,     25561.40,     25362.35,     25377.05,-4.65
,NIFTY AlphaLowVol,     27407.95,     27466.30,     27662.35,     27423.95,     27445.20,37.25
,Nifty200Momentm30,     33489.15,     33590.65,     33813.00,     33284.10,     33342.00,-147.15
,Nifty100ESGSecLdr,      3954.65,      3962.15,      3986.05,      3961.95,      3964.10,9.45
,NIFTY100 ESG,      4709.65,      4718.20,      4744.80,      4711.25,      4714.30,4.65
,NIFTY M150 QLTY50,     24249.15,     24302.55,     24352.20,     24231.80,     24276.30,27.15
,NIFTY INDIA MFG,     13845.40,     13877.50,     13988.95,     13848.95,     13860.85,15.45
,Nifty200 Alpha 30,     26389.75,     26456.25,     26585.85,     26297.00,     26332.65,-57.1
,NiftyM150Momntm50,     65200.05,     65320.05,     65545.95,     64826.90,     64881.65,-318.4
,Nifty IT,     43664.25,     43707.00,     43863.65,     43546.05,     43721.40,57.15
,Nifty Next 50,     69165.85,     69218.20,     69432.65,     68458.45,     68557.15,-608.7
,Nifty Bank,     51170.70,     51268.20,     51628.45,     51240.10,     51311.30,140.6
,NIFTY MIDCAP 100,     57125.70,     57266.65,     57348.95,     56950.50,     56979.80,-145.9
,Nifty 500,     22430.35,     22473.90,     22555.45,     22435.55,     22445.20,14.85
,Nifty 100,     24611.35,     24657.70,     24784.05,     24618.10,     24632.00,20.65
,Nifty Midcap 50,     15962.95,     16002.00,     16025.05,     15911.40,     15919.40,-43.55
,Nifty Realty,      1077.25,      1076.95,      1081.95,      1069.55,      1071.35,-5.9
,Nifty Infra,      8528.85,      8537.75,      8581.15,      8487.60,      8495.00,-33.85
,Nifty Energy,     35159.55,     35234.35,     35365.00,     34996.00,     35039.40,-120.15
,Nifty FMCG,     56258.00,     56436.75,     56615.80,     56220.15,     56444.25,186.25
,Nifty MNC,     27958.45,     28012.55,     28137.70,     27896.35,     27918.80,-39.65
,Nifty Pharma,     22712.55,     22756.30,     23066.10,     22691.05,     23008.35,295.8
,Nifty PSE,      9661.05,      9676.35,      9692.65,      9543.35,      9557.70,-103.35
,Nifty PSU Bank,      6630.15,      6639.50,      6665.00,      6562.65,      6570.90,-59.25
,Nifty Serv Sector,     31688.50,     31745.20,     31904.45,     31714.30,     31731.60,43.1
,India VIX,14.0350,14.0350,14.2375,13.0350,13.2375,-0.7975
,Nifty Auto,     22876.10,     22960.60,     23461.95,     22952.60,     23099.05,222.95
,Nifty Metal,      8805.25,      8820.50,      8869.80,      8707.65,      8720.70,-84.55
,Nifty Media,      1846.75,      1847.05,      1861.15,      1847.05,      1853.75,7
,NIFTY SMLCAP 100,     18728.65,     18775.30,     18822.70,     18705.25,     18755.85,27.2
,Nifty 200,     13456.35,     13483.05,     13538.20,     13452.60,     13459.75,3.4
,Nifty Div Opps 50,      6339.55,      6353.50,      6360.90,      6306.05,      6309.90,-29.65
,Nifty Commodities,      8212.90,      8228.60,      8256.10,      8144.75,      8154.40,-58.5
,Nifty Consumption,     11351.60,     11380.25,     11453.90,     11364.50,     11373.75,22.15
,Nifty Fin Service,     23743.80,     23799.00,     23929.30,     23757.85,     23788.00,44.2
,Nifty50 Div Point,       233.03,       233.03,       233.03,       233.03,       233.03,0
,Nifty100 Liq 15,      6199.90,      6219.10,      6268.20,      6192.45,      6198.60,-1.3
,Nifty CPSE,      6114.05,      6127.85,      6138.30,      6063.50,      6072.20,-41.85
,Nifty GrowSect 15,     11844.15,     11872.70,     11942.80,     11852.30,     11912.10,67.95
,Nifty50 PR 2x Lev,     13044.45,     13098.40,     13248.85,     13098.40,     13111.60,67.15
,Nifty50 PR 1x Inv,       210.60,       210.20,       210.20,       209.00,       210.10,-.5
,Nifty50 TR 2x Lev,     19042.10,     19120.80,     19340.50,     19120.80,     19140.10,98
,Nifty50 TR 1x Inv,       174.50,       174.15,       174.15,       173.15,       174.05,-.45
,Nifty50 Value 20,     13529.95,     13555.80,     13623.90,     13534.35,     13540.65,10.7
,Nifty Mid Liq 15,     14366.95,     14391.35,     14468.55,     14343.20,     14354.60,-12.35
,Nifty Pvt Bank,     24798.40,     24847.35,     25059.45,     24843.40,     24919.05,120.65
,NIFTY100 Qualty30,      5540.55,      5551.85,      5574.55,      5538.70,      5541.80,1.25
,Nifty GS 8 13Yr,      2759.65,      2760.18,      2761.21,      2756.41,      2758.33,-1.32
,Nifty GS 10Yr,      2439.98,      2440.43,      2441.73,      2434.88,      2438.72,-1.26
,Nifty GS 10Yr Cln,       888.45,       888.45,       888.93,       886.40,       887.82,-.63
,Nifty GS 4 8Yr,      2981.41,      2981.99,      2982.42,      2977.50,      2978.54,-2.87
,Nifty GS 11 15Yr,      3052.14,      3052.73,      3053.30,      3048.28,      3048.97,-3.17
,Nifty GS 15YrPlus,      3363.06,      3363.72,      3363.72,      3357.72,      3362.93,-.13
,Nifty GS Compsite,      2854.26,      2854.80,      2855.44,      2850.74,      2852.74,-1.52
,NIFTY HEALTHCARE,     14582.80,     14613.75,     14741.00,     14537.10,     14699.85,117.05
,NIFTY CONSR DURBL,     41708.80,     41764.50,     41988.85,     41478.85,     41534.85,-173.95
,NIFTY OIL AND GAS,     10756.45,     10762.05,     10782.40,     10671.50,     10683.05,-73.4
,NIFTY500 MULTICAP,     15803.20,     15834.20,     15876.60,     15810.45,     15815.95,12.75
,NIFTY LARGEMID250,     15734.40,     15766.50,     15807.85,     15724.45,     15731.30,-3.1
,NIFTY MID SELECT,     12791.65,     12819.10,     12855.20,     12761.70,     12768.90,-22.75
,NIFTY TOTAL MKT,     12662.00,     12687.10,     12730.80,     12666.80,     12671.80,9.8
,NIFTY MICROCAP250,     24978.90,     25054.35,     25132.25,     24966.85,     25066.15,87.25
,NIFTY IND DIGITAL,      9673.05,      9681.90,      9714.85,      9651.70,      9675.65,2.6
,Nifty Tata 25 Cap,     16507.60,     16547.55,     16650.60,     16495.40,     16506.10,-1.5
,Nifty MidSml Hlth,     43059.20,     43130.35,     43431.70,     42975.90,     43366.05,306.85
,Nifty Multi Mfg,     14661.75,     14697.00,     14804.30,     14695.10,     14720.60,58.85
,Nifty Multi Infra,     13749.35,     13773.40,     13807.70,     13677.75,     13686.45,-62.9
,BHARATBOND-APR25,      1287.61,      1287.83,      1287.90,      1287.82,      1287.90,.29
,BHARATBOND-APR30,      1447.40,      1447.69,      1447.87,      1447.61,      1447.61,.21
,BHARATBOND-APR31,      1321.28,      1321.53,      1321.68,      1321.31,      1321.31,.03
,BHARATBOND-APR32,      1208.06,      1208.29,      1208.29,      1208.29,      1208.29,.23
,BHARATBOND-APR33,      1179.27,      1179.50,      1179.50,      1179.50,      1179.50,.23
,Nifty Ind Defence,      6592.55,      6607.35,      6653.60,      6538.15,      6607.15,14.6
,Nifty Ind Tourism,      9134.90,      9171.55,      9200.55,      9107.95,      9131.20,-3.7
,Nifty Capital Mkt,      4060.25,      4072.25,      4087.35,      4009.25,      4014.95,-45.3
,Nifty500Momentm50,     58596.90,     58742.95,     59026.75,     58187.15,     58247.90,-349
,NiftyMS400 MQ 100,     51750.60,     51882.50,     52036.50,     51615.60,     51739.80,-10.8
,NiftySml250MQ 100,     50361.35,     50491.65,     50723.70,     50360.70,     50471.05,109.7
,Nifty Top 10 EW,      9347.15,      9362.20,      9406.25,      9360.60,      9368.10,20.95
,Nifty AQL 30,     22740.65,     22783.40,     22861.45,     22717.45,     22738.70,-1.95
,Nifty AQLV 30,     20508.00,     20548.30,     20611.10,     20479.90,     20498.90,-9.1
,Nifty EV,      2978.10,      2987.30,      3023.95,      2987.00,      2994.80,16.7
,Nifty HighBeta 50,      3578.95,      3588.65,      3595.05,      3544.50,      3548.40,-30.55
,Nifty New Consump,     11773.20,     11798.35,     11870.35,     11774.35,     11782.45,9.25
,Nifty Corp MAATR,     35243.30,     35330.85,     35587.55,     35307.55,     35340.00,96.7
,Nifty Low Vol 50,     23616.85,     23656.85,     23770.00,     23635.00,     23663.40,46.55
,Nifty Mobility,     19695.60,     19755.50,     19982.70,     19714.40,     19732.85,37.25
,Nifty Qlty LV 30,     16892.95,     16929.90,     16991.50,     16904.60,     16920.75,27.8
,Nifty Sml250 Q50,     29636.60,     29680.40,     29809.35,     29611.65,     29682.00,45.4
,Nifty Top 15 EW,      9632.30,      9655.65,      9717.30,      9653.80,      9664.55,32.25
,Nifty100 Alpha 30,     18582.55,     18621.40,     18741.40,     18474.90,     18503.05,-79.5
,Nifty100 Enh ESG,      4745.00,      4753.65,      4780.45,      4746.65,      4749.70,4.7
,Nifty200 Value 30,     12601.25,     12627.50,     12650.60,     12445.25,     12461.05,-140.2
,Nifty500 EW,     14161.25,     14185.95,     14222.75,     14174.25,     14185.25,24
,Nifty Multi MQ 50,     45828.65,     45943.25,     46122.70,     45627.95,     45678.20,-150.45
,Nifty500 Value 50,     13728.65,     13753.35,     13787.00,     13579.50,     13594.05,-134.6
,Nifty Top 20 EW,      8789.70,      8811.55,      8865.25,      8808.75,      8819.05,29.35
,Nifty CoreHousing,     16447.85,     16476.05,     16534.35,     16394.40,     16408.60,-39.25
,Nifty FinSerExBnk,     25311.60,     25374.50,     25485.90,     25232.60,     25252.20,-59.4
,Nifty Housing,     11099.10,     11122.75,     11150.30,     11060.25,     11067.90,-31.2
