,01-Jan-2025
The Nifty witnessed an intraday movement of about 260 points.The closing index was 0.41 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 66507.28
, Traded Quantity (in Lakhs), 24780.44
, Number of Trades, 27696323
, Total Market Capitalisation (Rs. Crores), 44137887.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23644.80,     23637.65,     23822.80,     23562.80,     23742.90,98.1
,NIFTY50 EQL Wgt,     29357.10,     29340.00,     29539.85,     29234.25,     29460.00,102.9
,NIFTY100 EQL Wgt,     31336.95,     31334.80,     31497.50,     31213.90,     31452.65,115.7
,NIFTY100 LowVol30,     19187.85,     19185.70,     19293.60,     19139.70,     19250.95,63.1
,NIFTY Alpha 50,     56293.05,     56336.75,     56785.75,     56163.95,     56743.30,450.25
,NIFTY MIDCAP 150,     21141.20,     21148.80,     21257.15,     21083.60,     21246.50,105.3
,NIFTY SMLCAP 50,      8937.20,      8940.90,      9023.20,      8922.65,      9008.30,71.1
,NIFTY SMLCAP 250,     17752.25,     17755.15,     17928.60,     17737.10,     17908.80,156.55
,NIFTY MIDSML 400,     19978.10,     19983.80,     20114.90,     19947.30,     20105.55,127.45
,NIFTY200 QUALTY30,     20799.20,     20801.00,     20861.90,     20741.60,     20832.55,33.35
,Nifty FinSrv25 50,     25105.85,     25112.40,     25288.95,     24974.75,     25226.50,120.65
,NIFTY AlphaLowVol,     27282.00,     27287.05,     27387.35,     27185.45,     27346.10,64.1
,Nifty200Momentm30,     32825.00,     32822.70,     32949.10,     32697.75,     32911.40,86.4
,Nifty100ESGSecLdr,      3939.20,      3939.15,      3968.80,      3925.50,      3958.25,19.05
,NIFTY100 ESG,      4689.55,      4689.30,      4720.85,      4673.65,      4711.85,22.3
,NIFTY M150 QLTY50,     24416.80,     24398.50,     24501.30,     24352.25,     24490.65,73.85
,NIFTY INDIA MFG,     13822.55,     13823.35,     13904.25,     13752.30,     13897.85,75.3
,Nifty200 Alpha 30,     26392.20,     26397.90,     26532.40,     26271.25,     26511.25,119.05
,NiftyM150Momntm50,     64397.00,     64388.00,     64697.30,     64075.30,     64644.85,247.85
,Nifty IT,     43337.80,     43290.65,     43568.50,     43249.80,     43373.10,35.3
,Nifty Next 50,     67988.35,     68044.65,     68325.05,     67744.90,     68247.95,259.6
,Nifty Bank,     50860.20,     50841.90,     51321.95,     50485.05,     51060.60,200.4
,NIFTY MIDCAP 100,     57199.45,     57225.05,     57473.85,     57026.35,     57450.90,251.45
,Nifty 500,     22375.40,     22375.85,     22518.70,     22313.75,     22481.80,106.4
,Nifty 100,     24495.55,     24493.35,     24663.00,     24410.35,     24595.70,100.15
,Nifty Midcap 50,     15974.10,     15985.25,     16060.10,     15926.60,     16051.95,77.85
,Nifty Realty,      1052.35,      1051.70,      1054.30,      1039.15,      1040.65,-11.7
,Nifty Infra,      8463.50,      8460.60,      8523.20,      8430.25,      8500.45,36.95
,Nifty Energy,     35188.25,     35173.35,     35466.60,     35076.55,     35430.45,242.2
,Nifty FMCG,     56799.65,     56884.05,     57129.90,     56767.35,     57017.65,218
,Nifty MNC,     27932.50,     27924.70,     28126.65,     27837.25,     28104.75,172.25
,Nifty Pharma,     23412.25,     23441.80,     23509.65,     23321.65,     23459.75,47.5
,Nifty PSE,      9532.20,      9530.00,      9576.30,      9469.10,      9561.85,29.65
,Nifty PSU Bank,      6540.70,      6535.55,      6569.95,      6491.60,      6546.65,5.95
,Nifty Serv Sector,     31417.10,     31409.60,     31642.55,     31305.30,     31527.00,109.9
,India VIX,14.4475,14.4475,14.8350,14.3050,14.5075,0.0600
,Nifty Auto,     22834.00,     22834.20,     23167.40,     22689.20,     23139.55,305.55
,Nifty Metal,      8649.90,      8646.60,      8667.70,      8580.25,      8639.90,-10
,Nifty Media,      1817.85,      1816.10,      1847.55,      1815.50,      1832.65,14.8
,NIFTY SMLCAP 100,     18769.20,     18781.90,     18989.00,     18753.65,     18959.80,190.6
,Nifty 200,     13406.95,     13407.00,     13490.00,     13362.05,     13462.45,55.5
,Nifty Div Opps 50,      6280.75,      6281.65,      6301.30,      6259.60,      6288.85,8.1
,Nifty Commodities,      8120.55,      8114.40,      8144.40,      8065.70,      8119.75,-.8
,Nifty Consumption,     11362.60,     11374.15,     11445.10,     11340.90,     11429.70,67.1
,Nifty Fin Service,     23512.80,     23512.85,     23715.05,     23370.35,     23619.95,107.15
,Nifty50 Div Point,       233.03,       233.03,       233.03,       233.03,       233.03,0
,Nifty100 Liq 15,      6186.25,      6186.90,      6234.85,      6163.55,      6223.35,37.1
,Nifty CPSE,      6088.10,      6083.40,      6117.50,      6049.50,      6106.85,18.75
