,02-Jan-2025
The Nifty witnessed an intraday movement of about 475.15 points.The closing index was 1.88 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 99415.85
, Traded Quantity (in Lakhs), 31538.1
, Number of Trades, 34631542
, Total Market Capitalisation (Rs. Crores), 44740280.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23742.90,     23783.00,     24226.70,     23751.55,     24188.65,445.75
,NIFTY50 EQL Wgt,     29460.00,     29531.85,     30146.80,     29471.20,     30112.95,652.95
,NIFTY100 EQL Wgt,     31452.65,     31512.05,     31989.65,     31442.80,     31971.45,518.8
,NIFTY100 LowVol30,     19250.95,     19288.65,     19641.70,     19249.60,     19619.60,368.65
,NIFTY Alpha 50,     56743.30,     56930.90,     57320.70,     56722.25,     57276.95,533.65
,NIFTY MIDCAP 150,     21246.50,     21286.75,     21491.85,     21228.90,     21473.15,226.65
,NIFTY SMLCAP 50,      9008.30,      9032.40,      9070.30,      8979.35,      9065.20,56.9
,NIFTY SMLCAP 250,     17908.80,     17947.60,     18018.80,     17892.60,     18007.95,99.15
,NIFTY MIDSML 400,     20105.55,     20145.65,     20296.30,     20093.80,     20282.25,176.7
,NIFTY200 QUALTY30,     20832.55,     20856.10,     21188.55,     20802.20,     21175.30,342.75
,Nifty FinSrv25 50,     25226.50,     25253.35,     25783.85,     25253.35,     25756.15,529.65
,NIFTY AlphaLowVol,     27346.10,     27402.95,     27774.70,     27314.00,     27761.30,415.2
,Nifty200Momentm30,     32911.40,     32997.15,     33536.30,     32908.65,     33507.15,595.75
,Nifty100ESGSecLdr,      3958.25,      3965.00,      4031.20,      3956.45,      4026.00,67.75
,NIFTY100 ESG,      4711.85,      4720.70,      4805.50,      4712.05,      4801.40,89.55
,NIFTY M150 QLTY50,     24490.65,     24493.80,     24656.90,     24413.45,     24644.55,153.9
,NIFTY INDIA MFG,     13897.85,     13930.55,     14123.40,     13882.80,     14114.50,216.65
,Nifty200 Alpha 30,     26511.25,     26579.30,     27009.10,     26507.05,     26976.15,464.9
,NiftyM150Momntm50,     64644.85,     64795.85,     65440.65,     64554.55,     65389.70,744.85
,Nifty IT,     43373.10,     43401.65,     44420.95,     43325.90,     44351.75,978.65
,Nifty Next 50,     68247.95,     68362.20,     69198.45,     68189.20,     69103.60,855.65
,Nifty Bank,     51060.60,     51084.95,     51672.75,     50992.80,     51605.55,544.95
,NIFTY MIDCAP 100,     57450.90,     57581.60,     58170.90,     57411.00,     58108.20,657.3
,Nifty 500,     22481.80,     22521.75,     22833.35,     22482.70,     22819.75,337.95
,Nifty 100,     24595.70,     24637.15,     25054.85,     24599.95,     25028.80,433.1
,Nifty Midcap 50,     16051.95,     16090.25,     16264.60,     16033.30,     16241.95,190
,Nifty Realty,      1040.65,      1044.85,      1054.40,      1032.15,      1051.65,11
,Nifty Infra,      8500.45,      8515.40,      8635.15,      8485.25,      8622.50,122.05
,Nifty Energy,     35430.45,     35446.75,     35744.90,     35268.20,     35715.90,285.45
,Nifty FMCG,     57017.65,     57129.15,     57718.15,     56846.35,     57671.35,653.7
