,17-Jan-2025
The Nifty witnessed an intraday movement of about 191.75 points.The closing index was 0.47 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 86331.32
, Traded Quantity (in Lakhs), 30084.8
, Number of Trades, 32346904
, Total Market Capitalisation (Rs. Crores), 42594440.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23311.80,     23277.10,     23292.10,     23100.35,     23203.20,-108.6
,NIFTY50 EQL Wgt,     29018.55,     28998.05,     29156.35,     28855.70,     29039.85,21.3
,NIFTY100 EQL Wgt,     30495.90,     30481.95,     30687.85,     30339.25,     30608.90,113
,NIFTY100 LowVol30,     18957.20,     18948.40,     19024.35,     18848.70,     18974.80,17.6
,NIFTY Alpha 50,     51841.25,     51867.90,     52468.50,     51608.90,     52300.45,459.2
,NIFTY MIDCAP 150,     20172.65,     20181.45,     20264.70,     20062.35,     20195.90,23.25
,NIFTY SMLCAP 50,      8402.15,      8400.55,      8436.95,      8338.55,      8421.95,19.8
,NIFTY SMLCAP 250,     16707.90,     16706.55,     16734.20,     16579.95,     16700.50,-7.4
,NIFTY MIDSML 400,     18967.95,     18972.65,     19029.95,     18862.55,     18978.85,10.9
,NIFTY200 QUALTY30,     20160.65,     20087.70,     20312.10,     20022.05,     20255.00,94.35
,Nifty FinSrv25 50,     24873.05,     24776.05,     24805.65,     24484.55,     24575.20,-297.85
,NIFTY AlphaLowVol,     26055.60,     26001.95,     26168.85,     25910.80,     26103.95,48.35
,Nifty200Momentm30,     30761.10,     30726.20,     30785.70,     30441.55,     30645.55,-115.55
,Nifty100ESGSecLdr,      3863.55,      3870.20,      3872.20,      3842.70,      3862.80,-.75
,NIFTY100 ESG,      4601.40,      4593.60,      4611.45,      4571.95,      4595.20,-6.2
,NIFTY M150 QLTY50,     23353.30,     23349.05,     23489.70,     23250.75,     23419.15,65.85
,NIFTY INDIA MFG,     13393.65,     13430.90,     13539.90,     13362.60,     13507.75,114.1
,Nifty200 Alpha 30,     24417.20,     24435.40,     24586.90,     24279.50,     24513.05,95.85
,NiftyM150Momntm50,     59963.25,     59981.90,     60008.40,     59355.40,     59705.95,-257.3
,Nifty IT,     43188.80,     42469.00,     42495.05,     41962.65,     42032.20,-1156.6
,Nifty Next 50,     64564.50,     64616.20,     65250.80,     64251.95,     65053.60,489.1
,Nifty Bank,     49278.70,     48959.50,     49047.20,     48309.50,     48540.60,-738.1
,NIFTY MIDCAP 100,     54483.80,     54515.70,     54792.25,     54188.85,     54607.65,123.85
,Nifty 500,     21714.55,     21699.45,     21730.85,     21563.80,     21680.25,-34.3
,Nifty 100,     23984.55,     23958.80,     23981.50,     23802.45,     23926.00,-58.55
,Nifty Midcap 50,     15131.50,     15147.80,     15192.90,     15034.30,     15139.65,8.15
,Nifty Realty,       927.05,       924.90,       943.85,       921.60,       939.25,12.2
,Nifty Infra,      8301.45,      8390.40,      8419.30,      8332.50,      8400.90,99.45
,Nifty Energy,     34275.10,     34415.75,     34784.40,     34234.45,     34686.10,411
,Nifty FMCG,     55240.00,     55332.20,     56005.10,     55142.55,     55800.85,560.85
,Nifty MNC,     27197.70,     27233.85,     27427.80,     27096.45,     27363.10,165.4
,Nifty Pharma,     21909.75,     21950.30,     22124.40,     21836.95,     22061.70,151.95
,Nifty PSE,      9245.30,      9239.40,      9400.30,      9202.35,      9371.65,126.35
,Nifty PSU Bank,      6307.60,      6293.65,      6316.90,      6249.65,      6294.00,-13.6
,Nifty Serv Sector,     30708.15,     30447.40,     30476.90,     30150.50,     30248.35,-459.8
,India VIX,15.4650,15.4650,16.3825,14.0525,15.7475,0.2825
,Nifty Auto,     22861.25,     22835.25,     22941.70,     22651.60,     22791.10,-70.15
,Nifty Metal,      8422.00,      8435.90,      8556.35,      8412.20,      8521.70,99.7
,Nifty Media,      1698.70,      1698.25,      1711.20,      1688.05,      1702.45,3.75
,NIFTY SMLCAP 100,     17643.30,     17637.90,     17704.00,     17490.05,     17672.05,28.75
,Nifty 200,     13064.95,     13054.65,     13075.95,     12975.10,     13043.55,-21.4
,Nifty Div Opps 50,      6160.45,      6121.90,      6159.20,      6088.35,      6134.65,-25.8
,Nifty Commodities,      8009.75,      8050.85,      8123.70,      8016.60,      8097.85,88.1
,Nifty Consumption,     11026.25,     11039.80,     11104.80,     10971.05,     11070.20,43.95
,Nifty Fin Service,     22943.75,     22803.95,     22839.30,     22518.30,     22608.20,-335.55
,Nifty50 Div Point,       233.03,       254.57,       254.57,       254.57,       254.57,21.54
,Nifty100 Liq 15,      6239.85,      6281.45,      6286.20,      6229.60,      6254.90,15.05
,Nifty CPSE,      6026.45,      6020.45,      6143.55,      6001.35,      6123.90,97.45
,Nifty GrowSect 15,     11803.30,     11712.40,     11747.65,     11636.55,     11698.10,-105.2
,Nifty50 PR 2x Lev,     12505.40,     12465.95,     12465.95,     12276.75,     12386.65,-118.75
,Nifty50 PR 1x Inv,       215.15,       215.50,       217.15,       215.50,       216.20,1.05
,Nifty50 TR 2x Lev,     18255.15,     18231.30,     18231.30,     17955.15,     18115.55,-139.6
,Nifty50 TR 1x Inv,       178.25,       178.35,       179.70,       178.35,       178.95,.7
,Nifty50 Value 20,     13265.60,     13150.70,     13179.05,     13085.60,     13134.15,-131.45
,Nifty Mid Liq 15,     13653.00,     13691.00,     13731.15,     13575.15,     13694.10,41.1
,Nifty Pvt Bank,     24206.40,     23954.00,     24018.25,     23558.25,     23680.05,-526.35
,NIFTY100 Qualty30,      5445.85,      5424.70,      5477.10,      5406.20,      5464.55,18.7
,Nifty GS 8 13Yr,      2775.12,      2775.64,      2777.32,      2772.93,      2773.11,-2.01
