,19-Feb-2025
The Nifty witnessed an intraday movement of about 235.1 points.The closing index was 0.05 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 84203.85
, Traded Quantity (in Lakhs), 28589.15
, Number of Trades, 38570327
, Total Market Capitalisation (Rs. Crores), 39952591.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     22945.30,     22847.25,     23049.95,     22814.85,     22932.90,-12.4
,NIFTY50 EQL Wgt,     28617.80,     28466.55,     28752.60,     28417.75,     28611.15,-6.65
,NIFTY100 EQL Wgt,     29083.65,     28912.35,     29302.10,     28817.85,     29201.25,117.6
,NIFTY100 LowVol30,     18783.25,     18702.35,     18811.35,     18643.95,     18713.00,-70.25
,NIFTY Alpha 50,     43823.50,     43438.00,     45231.95,     43148.95,     45054.40,1230.9
,NIFTY MIDCAP 150,     18375.85,     18278.50,     18669.85,     18190.55,     18644.90,269.05
,NIFTY SMLCAP 50,      7346.00,      7291.55,      7537.10,      7255.65,      7509.05,163.05
,NIFTY SMLCAP 250,     14267.95,     14183.30,     14615.10,     14106.80,     14588.65,320.7
,NIFTY MIDSML 400,     16887.85,     16794.65,     17204.05,     16711.45,     17180.95,293.1
,NIFTY200 QUALTY30,     19158.50,     19105.80,     19244.20,     19045.55,     19142.60,-15.9
,Nifty FinSrv25 50,     24817.15,     24733.85,     25050.10,     24671.70,     25014.80,197.65
,NIFTY AlphaLowVol,     25041.25,     24878.50,     25057.15,     24742.25,     24980.50,-60.75
,Nifty200Momentm30,     28238.85,     28047.35,     28572.50,     27950.70,     28451.20,212.35
,Nifty100ESGSecLdr,      3781.15,      3763.25,      3801.80,      3754.50,      3790.05,8.9
,NIFTY100 ESG,      4485.55,      4465.50,      4510.60,      4453.40,      4493.95,8.4
,NIFTY M150 QLTY50,     21272.95,     21172.85,     21535.40,     21083.80,     21506.10,233.15
,NIFTY INDIA MFG,     12600.85,     12495.40,     12706.90,     12440.40,     12680.45,79.6
,Nifty200 Alpha 30,     21631.05,     21464.75,     22008.35,     21363.15,     21916.75,285.7
,NiftyM150Momntm50,     53095.15,     52784.35,     54101.00,     52462.75,     53934.85,839.7
,Nifty IT,     41464.35,     41373.50,     41403.25,     40785.05,     40924.25,-540.1
,Nifty Next 50,     59449.40,     59074.50,     60273.25,     58798.75,     60156.40,707
,Nifty Bank,     49087.30,     48895.35,     49628.25,     48804.00,     49570.10,482.8
,NIFTY MIDCAP 100,     49751.45,     49485.80,     50609.25,     49214.55,     50527.25,775.8
,Nifty 500,     20611.40,     20511.20,     20802.55,     20459.20,     20731.45,120.05
,Nifty 100,     23331.40,     23223.55,     23471.50,     23181.30,     23368.55,37.15
,Nifty Midcap 50,     13996.75,     13911.40,     14208.10,     13834.00,     14162.75,166
,Nifty Realty,       832.05,       827.45,       857.50,       821.90,       845.95,13.9
,Nifty Infra,      7953.20,      7919.75,      8016.30,      7898.70,      7986.10,32.9
,Nifty Energy,     30849.05,     30620.20,     31279.50,     30487.35,     31198.50,349.45
,Nifty FMCG,     52480.50,     52346.70,     52606.60,     52096.20,     52360.45,-120.05
,Nifty MNC,     25871.50,     25742.70,     25919.30,     25687.00,     25835.50,-36
,Nifty Pharma,     20969.20,     20590.60,     20930.15,     20299.95,     20820.00,-149.2
,Nifty PSE,      8362.45,      8303.45,      8484.55,      8273.05,      8461.65,99.2
,Nifty PSU Bank,      5872.60,      5836.35,      5973.40,      5818.20,      5950.90,78.3
,Nifty Serv Sector,     30539.30,     30427.40,     30682.45,     30359.50,     30540.95,1.65
,India VIX,15.6650,15.6650,16.0225,14.7525,15.4200,-0.2450
,Nifty Auto,     21818.90,     21683.65,     21898.05,     21597.10,     21809.15,-9.75
,Nifty Metal,      8255.60,      8201.35,      8380.95,      8167.20,      8359.20,103.6
,Nifty Media,      1472.65,      1467.30,      1506.80,      1460.45,      1493.70,21.05
,NIFTY SMLCAP 100,     15168.45,     15058.00,     15579.15,     14976.30,     15525.90,357.45
,Nifty 200,     12576.15,     12516.55,     12674.00,     12487.40,     12624.75,48.6
,Nifty Div Opps 50,      5786.45,      5765.95,      5823.45,      5758.95,      5790.75,4.3
,Nifty Commodities,      7781.85,      7745.70,      7865.20,      7720.75,      7839.00,57.15
,Nifty Consumption,     10601.05,     10560.25,     10655.90,     10533.85,     10610.30,9.25
,Nifty Fin Service,     23280.30,     23197.15,     23501.40,     23158.40,     23456.20,175.9
