,04-Mar-2025
The Nifty witnessed an intraday movement of about 140.45 points.The closing index was 0.17 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87916.39
, Traded Quantity (in Lakhs), 31425.06
, Number of Trades, 39015715
, Total Market Capitalisation (Rs. Crores), 38270986.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     22119.30,     21974.45,     22105.05,     21964.60,     22082.65,-36.65
,NIFTY50 EQL Wgt,     27628.80,     27391.25,     27615.55,     27327.60,     27558.90,-69.9
,NIFTY100 EQL Wgt,     28117.40,     27877.35,     28185.40,     27753.00,     28112.25,-5.15
,NIFTY100 LowVol30,     17873.40,     17757.05,     17782.15,     17664.55,     17703.75,-169.65
,NIFTY Alpha 50,     42231.60,     41717.65,     43079.85,     41514.80,     42671.20,439.6
,NIFTY MIDCAP 150,     17778.55,     17583.10,     17895.00,     17449.95,     17807.30,28.75
,NIFTY SMLCAP 50,      7109.55,      7020.35,      7204.15,      6975.95,      7148.65,39.1
,NIFTY SMLCAP 250,     13755.90,     13597.20,     13968.70,     13507.60,     13914.10,158.2
,NIFTY MIDSML 400,     16319.05,     16136.55,     16475.90,     16020.10,     16401.25,82.2
,NIFTY200 QUALTY30,     18220.80,     18041.65,     18129.20,     17915.05,     18094.75,-126.05
,Nifty FinSrv25 50,     24492.10,     24374.35,     24620.15,     24366.95,     24565.75,73.65
,NIFTY AlphaLowVol,     23853.75,     23674.75,     23764.00,     23546.65,     23705.90,-147.85
,Nifty200Momentm30,     26870.35,     26577.15,     26896.35,     26410.60,     26760.20,-110.15
,Nifty100ESGSecLdr,      3657.50,      3633.00,      3659.10,      3629.25,      3653.75,-3.75
,NIFTY100 ESG,      4321.35,      4288.30,      4321.20,      4275.05,      4311.00,-10.35
,NIFTY M150 QLTY50,     20590.00,     20370.30,     20648.95,     20223.80,     20598.95,8.95
,NIFTY INDIA MFG,     12208.80,     12079.25,     12262.80,     12041.50,     12205.70,-3.1
,Nifty200 Alpha 30,     20742.95,     20509.75,     20965.05,     20401.80,     20895.40,152.45
,NiftyM150Momntm50,     51011.65,     50422.90,     51424.65,     49991.00,     51041.20,29.55
,Nifty IT,     37614.45,     37228.80,     37537.20,     36797.40,     37276.95,-337.5
,Nifty Next 50,     57646.80,     57135.30,     58168.95,     56741.40,     57966.85,320.05
,Nifty Bank,     48114.30,     47942.50,     48374.90,     47924.75,     48245.20,130.9
,NIFTY MIDCAP 100,     47984.15,     47437.75,     48271.80,     47056.90,     48007.85,23.7
,Nifty 500,     19896.95,     19736.05,     19957.50,     19681.65,     19917.85,20.9
,Nifty 100,     22514.20,     22357.75,     22535.45,     22324.05,     22504.90,-9.3
,Nifty Midcap 50,     13602.85,     13445.40,     13669.60,     13337.75,     13594.55,-8.3
,Nifty Realty,       807.95,       798.10,       815.40,       785.90,       808.75,.8
,Nifty Infra,      7697.35,      7629.90,      7718.65,      7604.80,      7697.35,0
,Nifty Energy,     30007.05,     29623.30,     30334.25,     29406.60,     30239.15,232.1
,Nifty FMCG,     50786.65,     50494.30,     50602.60,     50199.35,     50524.25,-262.4
,Nifty MNC,     25086.30,     24842.70,     25037.40,     24728.90,     24992.60,-93.7
,Nifty Pharma,     19879.80,     19795.20,     19884.90,     19635.15,     19820.65,-59.15
,Nifty PSE,      8169.05,      8076.20,      8314.20,      8009.75,      8287.25,118.2
,Nifty PSU Bank,      5631.25,      5587.80,      5755.65,      5565.75,      5718.90,87.65
,Nifty Serv Sector,     29410.15,     29251.85,     29462.35,     29215.35,     29415.55,5.4
,India VIX,13.7625,13.7625,14.1975,13.3725,13.8300,0.0675
,Nifty Auto,     20538.15,     20295.80,     20462.80,     20174.85,     20269.20,-268.95
,Nifty Metal,      8316.30,      8197.20,      8393.00,      8157.90,      8347.75,31.45
,Nifty Media,      1371.55,      1362.35,      1408.80,      1348.00,      1404.05,32.5
,NIFTY SMLCAP 100,     14660.85,     14469.60,     14867.45,     14389.95,     14762.60,101.75
,Nifty 200,     12134.65,     12041.60,     12152.45,     12013.55,     12131.40,-3.25
,Nifty Div Opps 50,      5520.85,      5473.60,      5539.25,      5441.95,      5530.60,9.75
,Nifty Commodities,      7648.75,      7563.75,      7699.05,      7527.25,      7678.70,29.95
